Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
123,2049,2048,1-0,8,-,4,-,8,4,e1g1,d7d5
119,1091,908,1-0,9,-,-,-,"7,8,9","12,13,14","f3h5,f4g3,g3h4","e8c8,h7h6,h7h6"
118,2153,2220,0-1,8,-,12,-,"6,7,8","6,7,8,9,10,11,12","e4e5,h2h3,d2d4","f6g4,g4h6,e8g8,d7d5,h6f5,d6c7,e8g8"
128,1673,1696,0-1,9,-,8,-,9,8,d2d4,e8g8
126,1348,1345,1-0,7,-,-,-,7,-,f3h4,-
125,2036,2075,1/2-1/2,13,-,6,-,"12,13","5,6","e3e4,e1g1","e8g8,a7a5"
129,1552,1575,1-0,7,-,9,-,7,9,d2d3,a7a6
124,1941,1891,1-0,-,-,6,-,"11,12,13,14,15",6,"g2c6,g2c6,g2c6,g2d5,e3e4",h7h5
130,940,929,1-0,-,-,-,8,-,"6,7,8",-,"e6f6,e6g6,d7g4"
135,1792,1765,0-1,-,-,-,-,"11,12,13,14,15",-,"a1a8,a1a8,e5d7,b5b8,b8b5",-
115,1997,1899,0-1,10,-,-,12,10,"4,5,6,7,8,8,9,9,10,10,11,11,12,12",d2d4,"d7d5,e8g8,e8g8,d6d5,b4a5,b4a5,d6d5,d6d5,g4f3,c5b6,h7h5,g4f3,e8g8,e8g8"
133,1598,1535,0-1,8,-,9,-,"7,8","8,9","e1g1,a2a4","b7b5,h5g3"
137,1747,1745,0-1,11,-,-,-,11,-,e1e2,-
132,1565,1552,1-0,-,-,-,-,-,"7,8,9,10,11,12,13",-,"d7d6,g7g5,g5g4,f6e4,d5e4,d8d4,d4e5"
131,1380,1325,0-1,10,-,10,-,"5,6,7,8,9,10",10,"e4d5,e1g1,d4e5,e1g1,e1g1,e1g1",e8g8
134,1208,1286,0-1,-,-,-,-,"14,15",-,"g4d1,c3e2",-
138,1207,1102,1-0,8,-,-,-,"7,8",-,"h2h3,g2g4",-
127,1393,1365,1-0,-,-,14,-,"4,5,6,7,8,9,10,11,12,13,14,15","12,13,14","h2h3,b1c3,d2d4,h3h4,d1e2,f3h4,c4d5,c4d5,d5b7,b7a8,c1e3,g5e3","b8d7,d8a8,e8g8"
139,1539,1606,0-1,10,-,8,-,"9,10,10","7,8","f2f3,c3f6,c3f6","b4c3,e8g8"
143,1883,1849,1-0,6,-,5,-,6,5,h2h3,e8g8
142,1006,975,1-0,6,-,-,-,6,"12,13,14,15",e1g1,"f6e4,b8c6,b8c6,d7e5"
141,1693,1640,1-0,6,-,12,-,"4,5,6","11,12","f3g5,e4e5,e1g1","c8d7,c7c6"
144,1093,1054,1/2-1/2,7,-,5,-,7,5,h2h3,e8g8
146,1563,1532,1-0,9,-,10,-,9,10,d1d3,e8g8
140,986,1057,1-0,10,-,-,-,"4,5,6,7,8,9,10",10,"d2d3,e4e5,d4f5,e1g1,e1g1,e5f6,e1g1",f8e7
