Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
49,2508,2356,0-1,-,13,9,-,"8,9,10,10,11,11,12,12,13,13","8,9","d4b3,c1d2,f3g3,f3g3,f3h3,f3h3,h2g3,h2g3,e1c1,d3e2","c5e7,b8c6"
55,2638,2458,1-0,10,-,4,-,10,4,g5h4,b7b6
54,2329,2434,0-1,10,-,12,-,10,"11,12",d4d5,"e6d5,e8g8"
58,2406,2595,0-1,-,9,7,-,"8,9,9",7,"d1d2,e1g1,e1g1",e8g8
56,2552,2420,1-0,-,-,-,-,"9,10,11,12,13,14",-,"g1e2,e1c1,e1c1,e1c1,g3h5,g3h5",-
51,2375,2471,0-1,-,13,5,-,"6,7,8,9,10,11,12,13,13",5,"e1g1,a2a4,d1e2,h3h4,d1f3,d4e5,d1g4,f2f3,f2f3",c7c5
60,2502,2521,1/2-1/2,5,-,11,-,5,"7,8,9,10,11,11",h2h3,"e7e6,g4f3,h5g6,f8e7,a5c7,a5c7"
57,2436,2364,1-0,-,-,7,-,"6,7,8,9,10,11,12,13,13,14,14,15,15",7,"d1d5,c1h6,h6e3,d5d2,c4d3,a2a4,e1g1,c3e2,c3e2,b3d5,b3d5,c2c4,c2c4",e8g8
59,2303,2401,0-1,-,-,-,-,"11,12,13,15","6,7,8,9,10,11,12,13","f1e2,f1e2,a1c1,b5d7","d8e7,g4e5,c6e5,b4d2,d7d6,b7b6,d6c5,b7b6"
61,2484,2506,1-0,10,-,10,-,"6,7,8,9,10",10,"e1g1,c3d4,e1g1,g5h4,b1d2",b8c6
64,2458,2542,1-0,7,-,7,-,7,7,e1g1,e8g8
63,2575,2422,1-0,9,-,8,-,"6,7,8,9","7,8","c4b3,d2d4,a2a4,a2a4","c5d4,e8g8"
66,2435,2775,0-1,8,-,-,-,"7,8","10,11,12,13,13,14,15","e1g1,e1g1","f8d6,g8f6,f8c5,c7b8,c7b8,g7g6,b7c8"
65,2470,2690,0-1,-,-,-,-,"6,7,8,9,10,11,12,13,14,15",-,"c2c3,h4h5,f3g5,d1g4,g4g3,d3f5,c1g5,g3g5,g5h6,g2g3",-
67,2514,2473,1-0,4,-,11,-,4,"7,8,9,10,11,11",e1g1,"a7a6,g8f6,b7b5,f8e7,b7b5,h7h6"
62,2420,2254,1/2-1/2,11,-,11,-,"4,5,6,7,8,9,10,11","5,6,7,8,9,10,11","e1g1,e1g1,b5c6,f3e5,d2d4,c1f4,e2e4,e1g1","e8g8,b7c6,e8g8,c5a7,c6c5,f7f6,f6e5"
68,2417,2329,1-0,6,-,6,-,6,6,e1g1,e8g8
69,2485,2533,0-1,4,-,8,-,4,"6,7,8",b5c6,"f6d5,d5c7,e8g8"
71,2399,2792,1/2-1/2,5,-,6,-,5,"5,6",e1g1,"e8g8,b4c3"
74,2548,2566,1/2-1/2,-,6,6,-,6,"5,6",e1c1,"c7c6,h7h6"
75,2677,2417,1-0,6,-,6,-,6,6,d2d4,c7c5
73,2516,2279,1-0,5,-,-,13,5,"10,11,12,13,13",b1c3,"e8g8,e8g8,c7c5,a6a5,a6a5"
