Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
101,2450,2639,0-1,8,-,13,-,8,"12,13,13",c1e3,"g8f6,e8g8,e8g8"
104,2395,2418,0-1,-,-,-,-,15,-,f1d3,-
103,2333,2641,0-1,-,-,11,-,-,"5,6,7,8,9,10,11",-,"e6e5,d7d6,a7a5,b4a5,d7d6,f6e4,e8g8"
106,2534,2507,1/2-1/2,-,-,11,-,15,"10,11",d1d6,"g4f3,d6d5"
107,2432,2254,0-1,5,-,7,-,5,7,d2d4,e8g8
105,2406,2563,1/2-1/2,13,-,8,-,"9,10,11,12,13",8,"c1f4,a2a4,d2c4,c4d6,e1g1",e8g8
108,2568,2513,1-0,-,12,-,10,"4,5,6,7,8,10,11,12,12",10,"b5a4,e1g1,d2d4,d1d4,d4e2,c1f4,d1e3,e1c1,e1c1",e8c8
109,2405,2403,0-1,8,-,5,-,8,"4,5",e1g1,"d7d6,f6h5"
112,2561,2647,1-0,8,-,8,-,8,8,e4e5,e8g8
110,2495,2360,1-0,10,-,5,-,"7,8,9,10",5,"c2c3,f3e5,d1h5,d1e2",e8g8
111,2436,2258,1-0,-,-,11,-,"11,12,13,13,14,14,15","10,11","g5f4,f4h6,f4e3,f4e3,c3d1,c3d1,h2h4","b5b4,b5b4"
114,2577,2592,1/2-1/2,8,-,12,-,"7,8","10,11,12","d4f3,e1g1","e5d4,e8g8,e8g8"
117,2511,2398,1-0,-,12,6,-,12,6,e1c1,h7h6
113,2570,2480,1-0,6,-,14,-,6,"12,13,14,14",e1g1,"e7f6,d8f6,e8c8,e8c8"
115,2418,2322,0-1,14,-,14,-,"11,12,13,14",14,"d3a6,e2d3,d3e2,e1g1",e8g8
119,2420,2281,1-0,11,-,10,-,11,10,g2g4,c8f5
120,2409,2422,1-0,11,-,-,-,"10,11",-,"e1g1,h4h5",-
116,2400,2258,1-0,12,-,-,-,12,"10,11,12,13,14",e1g1,"a7a5,e4c3,a1a2,a2e2,e7e6"
122,2635,2218,1-0,11,-,7,-,11,7,b1d2,e8g8
121,2663,2775,1-0,10,-,7,-,"8,9,10",7,"h2h3,f4e5,h2h3",f6h5
125,2217,2572,0-1,-,-,-,-,-,"7,8",-,"c5f2,d8b6"
124,2406,2355,1-0,10,-,5,-,10,"4,5",e1g1,"b8c6,d7d5"
118,2565,2575,0-1,-,11,7,-,"7,8,9,9,10,10,11,11",7,"h2h3,e1g1,a1d1,e1c1,b2b4,d3c2,e1c1,a1b1",e8g8
123,2440,2536,0-1,11,-,8,-,"10,11,11","6,7,8","g1f3,e1g1,e1g1","h7h6,g7g5,b4e7"
126,2591,2621,0-1,8,-,7,-,8,7,e1g1,e8g8
129,2661,2816,1-0,4,-,5,-,4,5,b1c3,d7d6
130,2506,2509,0-1,9,-,9,-,9,9,e1g1,e8g8
127,2515,2531,1-0,-,-,-,-,"10,11,12,13,15","10,11,12,13,14,15","d2f1,d2b3,f3d2,e2b5,g2f3","a8c8,c6a4,a4d1,d7b5,d1f3,b7b6"
131,2589,2550,0-1,5,-,8,-,"4,5",8,"b5a4,e1g1",e8g8
134,2478,2272,1-0,7,-,7,-,7,7,e1g1,e8g8
133,2612,2593,1-0,15,-,9,-,"11,12,13,14,15","8,9","e1g1,c2e2,h7e4,c2e4,c1e3","d5c3,e8g8"
