Id,WhiteElo,BlackElo,Result,WhiteSingleSwine,WhiteDoubleSwine,BlackSingleSwine,BlackDoubleSwine
143,3113,3034,1/2-1/2,False,False,False,False
144,2899,3042,1/2-1/2,False,False,True,False
146,3112,3040,1-0,False,False,False,False
145,2824,3012,0-1,False,False,False,False
147,2891,3004,1/2-1/2,True,False,False,False
148,3094,2918,1-0,True,False,True,False
149,2899,2757,1-0,True,False,True,False
151,3184,3047,1-0,False,False,False,False
150,2965,2778,1-0,True,False,True,False
152,3034,3047,0-1,False,False,True,False
153,2918,2741,1/2-1/2,True,False,False,False
154,3004,3094,1/2-1/2,True,False,False,False
155,3040,2891,1-0,False,False,False,False
156,3012,3112,1/2-1/2,False,False,True,False
157,3042,2824,1/2-1/2,False,False,True,False
158,3102,2899,1/2-1/2,True,True,True,False
159,2899,3113,1-0,True,False,False,False
160,2824,3102,1/2-1/2,True,False,False,False
161,3112,3042,1/2-1/2,False,False,True,False
162,2891,3012,1/2-1/2,False,False,False,False
163,3094,3040,1-0,True,False,False,False
164,2741,3004,1/2-1/2,False,False,True,False
165,2899,2918,1-0,True,False,False,False
166,3230,3227,1/2-1/2,True,False,True,False
167,2965,2757,1-0,False,False,False,False
168,3047,2778,1-0,True,False,True,False
169,3034,2778,1-0,True,False,False,False
170,3227,2965,1-0,False,False,False,False
171,3004,2899,1-0,True,False,True,False
172,3040,2741,1-0,True,False,False,False
173,3012,3094,1/2-1/2,False,False,False,False
174,3042,2891,1-0,False,False,False,False
175,3102,3112,0-1,False,False,False,False
176,3113,2824,1-0,False,False,False,False
177,2660,2899,0-1,False,False,True,False
178,2899,3034,1/2-1/2,True,False,True,False
179,2824,2660,1-0,True,False,False,False
180,3112,3113,1/2-1/2,True,False,True,False
181,2891,3102,1/2-1/2,True,False,False,False
182,3094,3042,1/2-1/2,True,False,True,False
183,2741,3012,1-0,False,False,False,False
184,2899,3040,1/2-1/2,False,False,True,False
186,2965,2918,1-0,False,False,False,False
185,3230,3004,1/2-1/2,False,False,False,False
187,3184,3227,1/2-1/2,True,False,False,False
188,3047,2757,1-0,True,False,False,False
189,2778,2606,1/2-1/2,False,False,False,False
190,2757,2778,0-1,False,False,False,False
191,3227,3047,1/2-1/2,False,False,False,False
192,2918,3184,1/2-1/2,False,False,False,False
193,3004,2965,1-0,True,False,True,False
194,3040,3230,0-1,False,False,False,False
195,3012,2899,1-0,False,False,False,False
196,3102,3094,1/2-1/2,False,False,False,False
197,3113,2891,1-0,False,False,False,False
198,2899,2824,1-0,True,False,False,False
199,2824,3034,1/2-1/2,True,False,False,False
200,3112,2899,1/2-1/2,False,False,False,False
201,2891,2660,1-0,True,False,True,False
202,3094,3113,1/2-1/2,True,False,False,False
203,2899,3042,0-1,False,False,False,False
204,3230,3012,1-0,True,False,False,False
205,2965,3040,1/2-1/2,False,False,False,False
206,3184,3004,1-0,True,False,False,False
207,3047,2918,1-0,False,False,True,False
208,2606,2757,1/2-1/2,False,False,True,False
209,3034,2757,1-0,False,False,False,False
210,2918,2778,1-0,True,False,False,False
211,3004,3047,1/2-1/2,False,False,True,False
212,3040,3184,1/2-1/2,True,False,False,False
213,3012,2965,1/2-1/2,True,False,True,False
214,3042,3230,0-1,True,False,True,False
215,3102,2899,1-0,True,False,True,False
216,2899,2891,1-0,True,False,False,False
217,2824,3112,1/2-1/2,True,False,True,False
218,3112,3034,1/2-1/2,True,False,True,False
219,2891,2824,1-0,True,False,True,False
220,3094,2899,1-0,False,False,False,False
221,2741,2660,1-0,True,False,False,False
222,2899,3113,0-1,False,False,False,False
223,3230,3102,1-0,False,False,False,False
224,2965,3042,1/2-1/2,True,False,False,False
225,3184,3012,1/2-1/2,True,False,True,False
226,3047,3040,1/2-1/2,True,False,True,False
227,2778,3004,0-1,True,False,True,False
228,3034,3227,1/2-1/2,True,False,False,False
229,2918,2757,1-0,False,False,False,False
230,3040,2778,1/2-1/2,True,False,False,False
231,3012,3047,1/2-1/2,True,False,True,False
233,3102,2965,0-1,False,False,False,False
234,3113,3230,0-1,False,False,False,False
232,3042,3184,1/2-1/2,True,False,False,False
235,2660,2899,0-1,True,False,True,False
236,2899,2741,1-0,True,False,False,False
237,2824,3094,1/2-1/2,False,False,False,False
239,2891,3034,0-1,False,False,False,False
238,3112,2891,1/2-1/2,True,False,True,False
240,3094,3112,1/2-1/2,True,False,False,False
241,2741,2824,1-0,True,False,True,False
242,2899,2899,1/2-1/2,True,False,False,False
243,2965,3113,0-1,True,False,False,False
244,3184,3102,1-0,True,False,False,False
245,3047,3042,1-0,True,False,True,False
246,2778,3012,0-1,False,False,True,False
247,2757,3004,0-1,False,False,True,False
248,2510,2797,1-0,True,False,True,False
249,3019,3083,1/2-1/2,True,False,True,False
250,3109,2913,1-0,True,False,True,False
252,3083,3051,1/2-1/2,True,False,True,False
251,3035,3192,1/2-1/2,False,False,False,False
253,2901,3114,0-1,False,False,False,False
254,3226,3047,1-0,True,False,False,False
255,3011,2964,1/2-1/2,True,False,False,False
256,3030,3224,1/2-1/2,False,False,False,False
257,2688,2780,1/2-1/2,False,False,False,False
259,2797,2894,1/2-1/2,False,False,False,False
260,2660,2745,1-0,False,False,False,False
258,2745,2894,1/2-1/2,True,False,True,False
261,2780,3004,1/2-1/2,True,False,False,False
262,2964,3030,1-0,False,False,False,False
263,3047,3011,1/2-1/2,False,False,False,False
264,3114,3226,0-1,True,False,False,False
265,3051,2901,1-0,False,False,False,False
266,3192,3083,1-0,False,False,True,False
267,2913,3035,1-0,True,False,True,False
268,3083,3109,1-0,True,False,False,False
269,3019,2797,1-0,True,False,False,False
271,3083,2913,1-0,True,False,False,False
270,3035,3083,1/2-1/2,True,False,True,False
272,2901,3192,0-1,False,False,False,False
273,3226,3051,1-0,True,False,False,False
275,3030,3047,1/2-1/2,False,False,True,False
274,3011,3114,0-1,False,False,True,False
276,2688,2964,1/2-1/2,False,False,False,False
277,3004,3224,1/2-1/2,False,False,False,False
278,2745,2780,0-1,False,False,True,False
279,2894,2660,1/2-1/2,True,False,False,False
281,2780,2894,1/2-1/2,True,False,False,False
280,2797,2660,1/2-1/2,True,False,True,False
283,3114,3030,1-0,True,False,True,False
282,2964,3004,1/2-1/2,True,False,False,False
284,3051,3011,1-0,False,False,True,False
285,3192,3226,1/2-1/2,False,False,True,False
286,2913,2901,1-0,False,False,False,False
287,3083,3083,1/2-1/2,False,False,True,False
289,3035,3019,1-0,False,False,False,False
288,3019,3109,1-0,True,False,False,False
290,2901,3083,0-1,False,False,True,False
291,3011,3192,0-1,True,False,False,False
292,3030,3051,1/2-1/2,False,False,False,False
294,2745,2964,0-1,False,False,False,False
293,3004,3047,1/2-1/2,True,False,True,False
295,2660,2780,0-1,True,False,False,False
297,2964,2894,1-0,True,False,False,False
296,2797,2780,1/2-1/2,True,False,False,False
298,3114,3004,1/2-1/2,False,False,False,False
299,3192,3030,1-0,False,False,True,False
300,2913,3011,1/2-1/2,False,False,False,False
301,3083,3226,0-1,True,False,False,False
302,3019,3083,0-1,False,False,True,False
304,3035,2797,1-0,False,False,False,False
303,3109,3035,1/2-1/2,True,False,True,False
305,3083,3109,1/2-1/2,True,True,True,False
306,2901,3019,1-0,False,False,False,False
308,3030,2913,1-0,False,False,False,False
307,3011,3083,1/2-1/2,False,False,False,False
309,3004,3051,0-1,False,False,True,True
310,2894,3047,0-1,False,False,False,False
311,2964,2780,1-0,True,False,False,False
312,3114,2894,1-0,True,False,True,False
313,3192,3004,1-0,False,False,False,False
314,2913,2688,1-0,True,False,False,False
316,3019,3226,1/2-1/2,False,False,False,False
315,3083,3030,1/2-1/2,True,False,False,False
317,3109,2901,1-0,True,False,False,False
319,3083,2797,1-0,False,False,True,False
318,3035,3083,0-1,True,False,False,False
320,2901,3035,0-1,False,False,True,False
