Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
643,2424,2470,0-1,9,-,-,-,9,-,e1g1,-
640,2449,2520,0-1,7,-,6,-,"6,7",6,"f3d2,g5f6",d7d6
642,2501,2617,1/2-1/2,14,-,15,-,"13,14",15,"d5e6,e1g1",e8g8
645,2414,2267,1-0,7,-,6,-,7,"5,6",h2h3,"d7d6,e8g8"
646,2585,2313,1-0,6,-,8,-,6,"7,8",d2d4,"c5d4,e8g8"
647,2282,2457,0-1,9,-,5,-,"7,8,9",5,"e1g1,c1e3,d4e5",e8g8
644,2404,2359,0-1,5,-,11,-,"4,5","6,7,8,9,10,11,11","c2c3,d2d4","h7h6,a7a6,c5a7,e8g8,g7g5,e8g8,e8g8"
648,2500,2498,1-0,12,-,11,-,"8,9,10,11,12",11,"c1e3,d3f5,c2c3,e1g1,d1e2",a7a5
641,2422,2512,1-0,-,-,-,-,"9,10,11,11,12,12,13,14,15","13,14,15,15","f1c4,g1e2,e2g3,e2g3,e1g1,e1g1,e5f6,g5e3,e1g1","g7f6,a8c8,f5g6,f5g6"
650,2522,2533,0-1,-,-,4,-,-,4,-,d7d6
649,2291,2420,1/2-1/2,8,-,11,-,"5,7,8",11,"e2f3,d2d4,g2g3",b8d7
651,2529,2515,1/2-1/2,-,-,-,-,"14,15","5,6,7","h4h5,e2g4","b4c3,c7c5,c5d4"
652,2548,2420,1-0,7,-,7,-,"4,5,6,7",7,"b5a4,e1g1,a4b3,a2a4",d7d6
654,2456,2461,0-1,12,-,13,-,"9,10,12",13,"c3e2,c1f4,c1f4",e8g8
655,2317,2512,1/2-1/2,11,-,4,-,"9,10,11",4,"f4h2,d4e5,d1d8",d7d5
657,2520,2622,0-1,6,-,8,-,"4,5,6",8,"c2c4,c4d5,d2d4",e8g8
659,2422,2582,1-0,-,-,-,-,-,"14,15",-,"a5c4,c4a5"
653,2376,2514,1-0,12,-,14,-,"7,8,9,10,11,12,12","11,14","g5h4,g5h4,g5h4,e1c1,c4c5,a2a3,a2a3","e7e5,e8g8"
660,2464,2411,0-1,5,-,5,-,5,5,c2c4,e8g8
656,2416,2441,1-0,-,-,4,-,"7,8,9,10,11,12,13,13,14,14,15,15",4,"e1g1,d4d5,a2a3,h2h3,c3e4,e3g5,e1c1,e1c1,g5f6,g5f6,f6d4,f6d4",e8g8
658,2712,2679,0-1,-,9,9,-,"5,6,7,8,9","4,5,6,7,8,9","d4c5,f4d2,e2e4,f2f3,a2a3","c7c5,b8a6,b8c6,a5b5,b4a5,d7d5"
664,2514,2416,1-0,6,-,15,-,6,"14,15,15",e1g1,"f8e7,e8g8,e8g8"
663,2511,2426,1-0,-,-,-,-,"12,13,14,15","8,9,10,11,12,14","e2e3,f3d2,g2g4,b3a5","g8f6,a7a6,a7a6,a7a6,f8e7,e7d8"
662,2438,2222,1-0,12,-,11,-,"8,9,10,11,12","5,6,7,8,9,10,11","c2c3,c2c3,g2f3,c1f4,c2c3","e8g8,a7a5,g4f3,d6c5,f6d7,f6d7,d8e7"
666,2646,2492,1-0,8,-,5,-,"7,8",5,"e1g1,e1g1",e8g8
665,2425,2284,1-0,10,-,8,-,10,"7,8",e1g1,"d7d6,d7d6"
668,2604,2554,0-1,12,-,7,-,12,7,d2c4,d7d6
669,2413,2359,1-0,6,-,-,-,6,"14,15",e1g1,"h6h5,b7c8"
670,2546,2568,0-1,6,-,5,-,6,5,e1g1,e8g8
671,2575,2526,1/2-1/2,6,-,7,-,6,7,e1g1,d6d5
661,2716,2563,0-1,-,10,-,-,"6,7,8,9,10","7,8,9,10,11,12,12,13,13,14,14,15","a2a4,e3h6,e1c1,h3g5,a2a4","h7h5,c8h3,d8c7,b8d7,d7b6,a8c8,a8b8,d6c5,d6c5,a8d8,a8b8,c5a4"
674,2308,2546,0-1,10,-,10,-,10,10,a2a3,c8f5
673,2595,2322,0-1,10,-,6,-,"7,8,9,9,10,10",6,"e1g1,f4d6,f4d6,f4d6,f4d6,f4d6",e8g8
667,2400,2346,0-1,14,-,-,-,"6,7,8,9,10,11,12,13,14",15,"e4e5,e5e6,f3g5,f3g5,e6e3,e6e2,e6e3,e2d3,b1c3",e6g5
675,2637,2542,1-0,5,-,7,-,"4,5",7,"b5a4,e1g1",e8g8
676,2210,2406,1-0,6,-,6,-,6,6,b1c3,e8g8
