Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
1143,2575,2449,1-0,5,-,5,-,5,5,e1g1,e8g8
1141,2248,2600,0-1,4,-,8,-,4,8,c2c3,e8g8
1145,2521,2303,1-0,8,-,8,-,8,8,e4e5,e8g8
1144,2653,2615,1-0,7,-,5,-,"6,7",5,"d2d4,d2d4",c7c5
1146,2411,2416,1-0,-,-,-,-,7,-,f3e5,-
1147,2749,2235,1-0,-,-,13,-,"10,11","11,12,13","d3g6,d3g6","g6d3,g6d3,e8g8"
1148,2644,2632,0-1,-,-,15,-,-,"10,11,12,15",-,"a5a2,c3a5,a5a2,e8g8"
1150,2356,2533,0-1,-,-,-,-,-,-,-,-
1140,2510,2483,0-1,-,8,-,-,8,"9,10,11,12,12,13,13,14,14,15,15",e1c1,"d8c7,b7b5,c8b7,e8g8,e8g8,e7f6,e7f6,a6b5,a6b5,c7b6,c7b6"
1152,2366,2519,0-1,-,-,-,-,-,10,-,f6e4
1149,2358,2500,0-1,7,-,10,-,"5,6,7","6,7,8,9,10","b2b3,c1b2,e1g1","e8g8,e8g8,e8g8,a6c5,e8g8"
1153,2642,2498,1-0,9,-,9,-,9,"8,9,9",e1g1,"g8f6,d6e7,d6e7"
1142,2543,2462,1-0,-,10,14,-,"7,9,10,10","4,5,6,7,8,9,10,10,11,11,12,12,13,13,14,14","b1c3,e1g1,e1g1,e1g1","b4e7,b4d2,b4d2,b4d2,e8g8,c7c5,c7c5,c7c5,d7c5,d7c5,e8g8,e8g8,c7c6,c7c6,e8g8,e8g8"
1151,2637,2594,0-1,9,-,9,-,"4,5,6,7,8,9","5,6,7,8,9","b1c3,b1c3,e1g1,e1g1,d2f1,d2f1","d7d6,a7a6,e8g8,c5a7,c5a7"
1155,2541,2605,1-0,-,7,-,-,7,15,g2g4,d6c5
1156,2481,2525,1-0,6,-,5,-,6,5,e1g1,d7d6
1158,2516,2391,1-0,4,-,4,-,4,4,c2c4,e8g8
1154,2404,2518,0-1,5,-,8,-,"4,5","6,7,8","d2d4,e1g1","e8g8,e8g8,e8g8"
1160,2617,2446,1-0,9,-,10,-,"7,8,9",10,"c3d5,e2f4,d2d3",c8g4
1159,2598,2459,1-0,9,-,7,-,9,"6,7",e1g1,"h7h6,h7h6"
1161,2536,2570,1-0,6,-,10,-,6,"5,6,7,8,9,10",c3a4,"d7d5,a7a5,h7h6,d8f6,f6d8,c5a7"
1157,2427,2322,1-0,-,-,-,-,"9,10,13,14","7,11","b3a4,a1c1,a6b7,a6b7","d5c4,h7h5"
1162,2523,2259,1-0,15,-,6,-,"12,13,14,15","5,6","c1d2,f3h4,b2b3,e1g1","d7d6,b4a5"
1165,2513,2391,1-0,5,-,6,-,5,6,e1g1,e8g8
1164,2666,2693,1-0,7,-,8,-,"6,7",8,"b1c3,b1c3",e8g8
1167,2395,2410,0-1,8,-,7,-,"7,8",7,"b1c3,e1g1",e8g8
1168,2537,2654,1-0,10,-,4,-,10,4,e1g1,d7d5
1166,2311,2404,1-0,-,-,7,-,"9,10,12,13,15",7,"g5h4,e1c1,f2f3,f1e2,f3e4",e8g8
1163,2585,2542,0-1,-,12,-,-,12,"10,11,12,13,14,14,15,15",g2g4,"b6c7,b8d7,c8b7,b8c6,d7c5,d7c5,d6d5,d6d5"
1171,2656,2314,1-0,7,-,6,-,7,"4,5,6",e1g1,"b7b6,e8g8,e8g8"
1173,2640,2612,0-1,7,-,5,-,7,"4,5",e1g1,"e8g8,e8g8"
1169,2577,2554,0-1,12,-,15,-,"8,9,11,12","10,11,12,12,13,13,14,14,15,15","e1g1,e1g1,g2d5,e1g1","e6d5,d8d5,b4e7,b4e7,d5f5,d5f5,c6e5,c6e5,e8g8,e8g8"
1172,2522,2639,1-0,10,-,-,-,10,"7,8,9,10,11,12,13,15",e1g1,"b7c6,e6e5,e6e5,e6e5,d8d1,b7b6,b7b6,c6c5"
1174,2509,2534,0-1,8,-,8,-,8,8,e1g1,h7h6
1175,2603,2649,1-0,8,-,7,-,8,7,e1g1,c8g4
1170,2338,2427,0-1,-,15,-,-,"8,9,10,11,12,13,14,15",15,"c4c5,c4c5,a1c1,e5g3,g4a4,g4a4,h2h4,e2e4",f6g5
1176,2569,2639,1-0,7,-,4,-,"6,7",4,"c4d5,e1g1",c7c6
1178,2542,2532,1/2-1/2,5,-,12,-,5,"10,11,12",e1g1,"a8c6,a8d5,h7h6"
1179,2530,2464,1-0,9,-,10,-,"6,7,8,9",10,"b5c6,c2c4,b1c3,d4d3",e8g8
1180,2485,2526,0-1,-,-,-,-,-,"11,12,13,14",-,"b5c4,b6c7,f6d7,f7f5"
1183,2606,2550,1-0,-,-,-,-,-,-,-,-
1177,2511,2327,0-1,14,-,-,15,"10,11,12,13,14",15,"e3d4,b1d2,d1f3,e1g1,e1g1",e8c8
1181,2407,2206,1-0,-,12,-,-,"6,7,8,9,10,11,12",-,"d4e5,f3e5,c4f7,d1d8,a2a4,a2a3,a2a4",-
