Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
853,2556,2648,0-1,11,-,-,-,"9,10,11,11","8,12,13,14,15","a1c1,f1e2,e1g1,e1g1","e7e6,b4c3,e8g8,e8g8,c8c2"
860,2289,2442,0-1,6,-,5,-,6,5,e1g1,e8g8
857,2413,2530,0-1,-,-,-,-,9,"8,9",f3h4,"e5e4,d5g2"
862,2228,2531,0-1,-,-,11,-,-,11,-,e8g8
859,2438,2459,1-0,9,-,-,-,"8,9","8,13,14,15","d4b3,d1e2","a5c7,h7h6,e7e6,g7g6"
861,2478,2219,1-0,11,-,10,-,"7,8,9,10,11,11",10,"e2e3,g5h4,g1f3,g1f3,e1g1,e1g1",e8g8
864,2221,2467,0-1,-,-,9,-,-,"8,9",-,"e8g8,e8g8"
865,2468,2512,1-0,4,-,-,-,4,-,e1g1,-
866,2507,2481,1/2-1/2,6,-,13,-,6,13,c2c3,f5g6
858,2539,2296,1-0,10,-,-,-,"5,6,7,8,9,10","8,9,10,11,12,13,14,15","d2d3,e4e5,e1g1,d3d4,c3d4,b1c3","c5c4,d7b6,b6c7,f6e5,d7f8,b6a7,b7b5,b5a4"
867,2444,2627,0-1,9,-,-,-,"7,8,9","12,13","d4c5,e3d4,f3e5","b8c6,e4g2"
863,2597,2584,1-0,-,-,-,-,"13,13,14,14,15","13,14,15","e1g1,e1g1,b5d3,b5d3,e1g1","g4d7,e8g8,e8g8"
870,2397,2424,0-1,10,-,7,-,"9,10,10",7,"d1e2,h2h3,h2h3",f6h5
868,2440,2412,1-0,12,-,-,-,12,"11,12,13,13,15,15",b5d7,"g7g6,f8g7,a7a6,a7a6,a6a5,a6a5"
872,2586,2491,1-0,13,-,7,-,13,7,a1b1,e8g8
874,2547,2486,1-0,4,-,4,-,4,4,c2c4,e8g8
869,2607,2555,1-0,-,-,12,-,10,"5,6,7,8,9,10,11,12",a1b1,"f6d5,c7c5,c7c5,d8a5,h7h6,a7a6,h7h6,f7f6"
875,2465,2446,0-1,-,10,10,-,"8,9,10","9,10","g5f4,e4f6,g1f3","e7d6,e7d6"
871,2639,2619,1-0,-,-,-,-,"10,11,12,13,14,15","9,14,15","e2e3,f4d2,d2e4,e4d2,g2g3,f1g2","a8c8,e7f6,g4d7"
873,2400,2628,0-1,12,-,5,-,"7,8,9,11,11,12,12","4,5","e1g1,d4d5,f3d2,c4d5,c4d5,e1c1,e1c1","e8g8,e8g8"
877,2486,2573,0-1,7,-,10,-,7,"9,10",e1g1,"e6e5,e8g8"
876,2575,2658,1-0,-,-,-,-,-,"4,5,6,8,9,10,11,12",-,"d7d5,e6d5,d5f5,f6e4,f5f2,e4d2,f2f6,e4d2"
879,2537,2382,1/2-1/2,8,-,13,-,"7,8","9,10,11,12,13,13","d4c6,d4f3","e6e5,f8d6,f6e4,f8d6,e8g8,e8g8"
878,2496,2568,1-0,14,-,-,-,"10,11,11,12,12,13,13,14,14","4,5,6,7","e1g1,d4e5,d4e5,f4e5,f4e5,e5c7,e5c7,e1g1,e1g1","f6d5,d7d5,b4f8,e8f8"
881,2484,2510,0-1,-,-,6,-,"10,11,12,12,13,14,15",6,"b2b3,e1g1,f3e5,f3e5,d4e5,d2e4,d3e4",b7b6
882,2617,2416,1-0,9,-,9,-,9,"7,9",h2h3,"c6d5,c8g4"
883,2543,2411,1-0,-,-,8,-,-,8,-,a7a5
886,2579,2472,0-1,5,-,7,-,5,7,c2c4,d7d5
880,2597,2542,1/2-1/2,11,-,13,-,"10,11,11","4,5,6,7,8,9,10,11,11,12,12,13,13","f1d3,f3g5,f3g5","d7d5,e6d5,d5f5,e6f5,c7c6,b4d6,e8g8,h7h6,h7h6,h7h6,h7h6,d7f6,d7f6"
884,2461,2451,1-0,11,-,10,-,"10,11","4,5,6,7,8,9,10","b3c4,a3a4","e8g8,e8g8,b4c3,d7d5,e8g8,d5c4,c6a5"
887,2475,2358,1-0,-,11,7,-,"9,10,10,11,11",7,"f1c4,h2h4,e1c1,e1c1,h2h4",a7a6
888,2625,2698,0-1,7,-,-,-,7,"6,7,8,9,10,11,12,13,14,15",e1g1,"d8d4,f6e4,f6g4,d4e5,h5h4,h5h4,h4g3,e5d6,f6h4,h4h5"
890,2595,2628,1/2-1/2,-,-,-,-,12,"11,13,14",d2b4,"d8a5,b4d2,e8e7"
892,2403,2554,1-0,7,-,7,-,7,7,d1c2,b4c3
