Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
252,1472,1493,0-1,-,-,-,15,"7,9,10,11,12,12","11,12,13,14,14,15,15","d3h7,b1c3,b1d2,e1g1,f3d3,f3f4","d8b6,b4d2,c6c5,f5d4,f5d4,g7g6,g7g6"
267,1214,1256,0-1,11,-,-,-,"8,9,10,11","13,14,15","b5c6,f3d4,d4c2,b1c3","g4e6,h5g6,d6e5"
270,1694,1904,0-1,8,-,14,-,8,14,d4c5,e7c5
263,1727,1704,1-0,12,-,13,-,"9,11,12","8,9,10,12,13,13","f3d4,d4c6,e2c2","e5d4,g4e2,f8c5,g8e7,e8g8,e8g8"
271,1259,1296,0-1,9,-,11,-,"7,8,9",11,"d1a4,a4c4,e1g1",a5d8
265,1862,1889,0-1,-,-,-,-,"9,10,11,12,13,14,15","6,7,8,9,15","h5g5,g5g4,g4g3,g1f3,a2a3,c3e2,b2b3","f6h5,c8g4,f6g4,g4e3,c6c5"
269,1066,1040,0-1,-,-,-,-,"6,7,8,9,10,11",-,"f3d3,c3d5,e4d5,g5f7,e1g1,d3g3",-
266,1651,1667,0-1,4,-,-,15,4,"6,7,8,8,9,9,10,10,12,13,14,15",d2d4,"e8g8,e8g8,d5e4,d5e4,c6e5,c6e5,e7d8,e7d8,h7h5,d6b4,d6b4,h7h5"
264,1941,1899,0-1,-,14,-,-,"4,5,6,7,8,9,10,11,12,13,13,14,14",-,"b1c3,d2d4,d3d4,g5f6,f3h4,f3h4,h4g6,g6h8,d1h5,e4f5,e4f5,e4f5,e4f5",-
276,1659,1637,1-0,6,-,6,-,"5,6","5,6","c3d5,e1g1","e5d4,b4c3"
272,1786,1552,0-1,9,-,12,-,"8,9","8,9,10,11,12","h2h4,c1e3","h7h6,e8g8,e8g8,e8g8,e8g8"
273,1105,1157,1-0,-,-,-,-,12,"8,9,10,11,12,13,14,15",g1f3,"c7d6,c7d6,c6c5,c6c5,a6a5,h4d8,g4h5,h5g6"
281,1872,1852,1-0,8,-,5,-,8,5,e3e4,f6e4
275,1473,1476,1-0,9,-,-,14,"4,5,6,7,8,9",14,"d2d4,d2d4,d1e2,d1e2,d2e4,e1g1",e8c8
278,2008,2073,1-0,-,-,7,-,"13,14,15","5,6,7","h4h5,c4b3,c3c5","f6e4,e4c3,e8g8"
282,2262,2187,1-0,9,-,-,-,9,15,d1d2,f8c5
277,1855,2050,1-0,-,9,-,10,"8,9,9","8,9,10,10","e1g1,c3b5,c3b5","e8g8,c6b4,c6b4,c6b4"
280,1987,1941,0-1,11,-,-,-,"6,7,8,9,10,11","13,14,15","c2c4,d4c5,d1f3,e5e6,f3c3,e1g1","b6b5,d4e5,e5g5"
286,1747,1741,0-1,7,-,-,-,7,"11,12,13,14,15",e1g1,"a7a5,c6b7,h7h5,d7e5,e5d7"
284,1334,1292,0-1,-,-,-,-,"4,5,6,7",-,"f3g5,c4f7,f3g3,f5d3",-
287,1516,1506,1-0,7,-,-,-,7,10,e1g1,h8h4
283,1644,1581,1-0,10,-,10,-,"7,8,9,10,10","6,7,8,9,10","e2e4,e2e4,e1g1,e2e4,e2e4","e8g8,e8g8,c8b7,d6d5,d8c7"
274,1439,1458,0-1,-,-,-,15,"4,5,6,7,8,9,10,11,12,13,14,15","5,6,7,8,9,10,11,12,12,13,13,14,14,15,15","f3g5,d2d3,f3e5,c2c3,f3e5,e4d5,e4d5,e1g1,d1e2,e1g1,e1g1,e1g1","f6e4,c5b4,d7d5,e8g8,f6d5,d8d5,c5d6,e8c8,e8c8,g4f3,g4f3,h5g6,h5g6,e8c8,e8c8"
285,1504,1493,1-0,-,-,-,-,"10,11,12,13,14,15","13,14,14,15","b3c2,e2g3,e1g1,d3d4,e1g1,e1g1","d6d5,e7f8,e7f8,b5b4"
288,1491,1569,0-1,11,-,5,-,"4,5,6,7,8,9,10,11",5,"f3g5,e1g1,e1g1,g5f6,h4e7,b1d2,b1d2,e1g1",d7d5
292,1413,1397,0-1,5,-,6,-,"4,5",6,"b1c3,c3a4",e8g8
293,2085,2079,1-0,8,-,9,-,8,9,e1g1,a7a6
294,1459,1463,1-0,10,-,6,-,10,6,c2c3,e8g8
297,1979,1925,0-1,-,-,7,-,-,7,-,e8g8
289,1175,1153,1-0,-,-,9,-,"10,11,12,13,14",9,"e1c1,e3d4,c3e2,e4d5,e1c1",d5d4
296,1654,1660,0-1,6,-,7,-,6,7,e1g1,e6e5
279,729,685,1-0,-,-,-,-,"8,9,10,11,12,13,14,15",-,"d1a4,e5d7,b5d7,d7e5,e3d4,e3d4,a4b5,c1e3",-
291,2044,2102,1-0,12,-,11,-,"7,8,9,10,11,12,12",11,"b1c3,f3g5,f3g5,f4g5,f4g5,f4g5,f4g5",e8g8
