Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
22371,987,1033,0-1,-,-,11,-,13,"6,7,8,9,10,11",e2d2,"d6e5,e8g8,d7d6,d7d6,d7d6,c6d4"
22372,2189,2043,1-0,5,-,-,-,5,-,d3c4,-
22373,1246,1257,0-1,-,-,-,-,-,-,-,-
22374,1918,1936,0-1,-,-,6,-,"8,9,10,11,12,13,14,15","5,6","e3e4,d3c4,c4d3,c3e4,d3b5,c3e4,c3b5,e5g4","b7b6,b8d7"
22375,1395,1353,0-1,-,-,-,14,"8,9,10,11,12","7,8,9,10,12,13,14","c3e2,e1g1,g2f3,e1g1,e1g1","e6h3,e7d7,g4f3,e7d7,c6h1,h1h3,e8c8"
22376,1760,1677,0-1,-,-,-,-,-,-,-,-
22377,1512,1535,1-0,8,-,-,12,"7,8","9,10,11,12","d2d4,e1g1","g4f3,f6d8,h5f3,d6d4"
22378,1413,1384,1-0,-,-,-,-,"4,5,6,7,8,9,10,11,12",9,"f3g5,e4d5,g5f7,e1g1,b1c3,b1c3,c3d5,c3d5,d5e3",e4f3
22379,1556,1543,0-1,5,-,-,-,5,"6,7,8,9,10,11,12,13,14,15,15",b1c3,"e8g8,b7b5,c6a5,c6a5,e6d5,d5e7,e6d5,c6a5,e5d3,g7e5,g7e5"
22380,1055,1058,1-0,6,-,-,11,6,"5,6,7,8,9,11,11",d2d4,"e5e4,e5e4,e5d4,c5b6,d6b4,b4a2,b4a2"
22381,1909,1816,0-1,-,-,-,-,"10,11,12,13,14,15","9,10,11,12,13,14,15","c4b3,e1g1,d5f7,c3d5,d2g5,c1g5","c8e6,d8c7,f6d5,f6d5,e7g5,b4c2,b4c2"
22382,1757,1765,0-1,-,-,6,-,"9,10,11,12,13,14",6,"e1g1,d1b3,g3e4,g3e4,d1c2,c2b3",c7c6
22383,1384,1388,1-0,7,-,10,-,7,"9,10",c1g5,"d7g4,d7f5"
22384,2166,2152,1/2-1/2,-,-,-,-,-,-,-,-
22385,1551,1497,1-0,10,-,-,-,"4,5,6,7,9,10","12,13,13,14,14,15,15","b5a4,d2d4,d2d4,e5c4,e1g1,e1g1","g8e7,b4d6,b4d6,f5e4,f5e4,e4f3,a5c3"
22386,1823,1822,1-0,-,-,-,-,"8,9,10,11,12,13,14,15","8,9,11,12,13,14,15","e1g1,h4h5,h5h6,h5h6,f4f5,f4f5,b1d2,e3g1","h7h6,g6f8,f7f5,f7f5,f7f5,c6a5,f7f5"
22387,1677,1692,1-0,7,-,7,-,7,7,f3h4,d5c4
22388,1874,1852,0-1,7,-,14,-,7,"7,8,9,10,11,12,13,14",e1g1,"d6e5,d6e5,c6e5,d7c6,d7c6,d8c7,d8c7,c7d5"
22389,1252,1297,1-0,6,-,10,-,"4,5,6",10,"d2d4,a2a4,b5c6",e7f8
22390,2090,2158,1-0,4,-,-,-,4,"12,13,14,14,15,15",e1g1,"e8g8,a6a5,e8c8,e8c8,f6e4,f6e4"
22391,1469,1510,1-0,11,-,12,-,"6,7,8,9,10,11",12,"d1a4,d4d5,e4d5,d5c6,c4b5,b1c3",d6h2
22392,1613,1608,1-0,-,-,-,-,"7,8,9",-,"e4e5,e5e6,c4f7",-
22393,1894,1886,1-0,8,-,5,-,"5,6,7,8",5,"d2d3,e1g1,g5h4,d1c1",e8g8
22394,1731,1731,1-0,13,-,-,12,"4,5,6,8,9,10,11,12,13,13","8,9,10,11,12","d1e2,e4d5,c4b5,e1g1,e2f3,d1e2,d1e2,e1g1,c3b4,c3b4","g4f3,c5d4,d4c3,f8b4,b4c3"
22395,2018,2032,0-1,4,-,6,-,4,"5,6",d2d4,"e5d4,e8g8"
22396,1500,1521,0-1,11,-,13,-,11,"11,13,13",d1e2,"h7h6,e8g8,e8g8"
22397,906,802,1-0,4,-,-,-,4,-,f3e5,-
22398,711,709,0-1,4,-,8,-,4,"4,5,6,7,8",e4e5,"f6e4,d7d5,d7d5,f6d5,e8g8"
22399,1342,1303,0-1,-,-,12,-,-,"10,11,12",-,"d7b5,b5d7,b8d7"
22400,1244,1139,1-0,10,-,-,-,"8,9,10","8,13","e1g1,e1g1,e4f5","e8g8,e8c8"
22401,1568,1597,0-1,10,-,-,10,"8,9,10",10,"e1g1,d1f3,f3e4",b6d4
22402,2202,2274,0-1,12,-,14,-,"11,12","14,14","e1g1,e1g1","e8g8,e8g8"
22403,1478,1451,0-1,-,8,5,-,8,5,e4e5,e8g8
22404,1509,1516,0-1,-,-,5,-,"12,13,14,15","4,5","f3g1,c2c4,c4d5,d5c6","e8g8,f6d5"
22405,2005,2087,1-0,9,-,-,9,"5,6,7,8,9","8,9,9","d2d4,h2h3,d2d4,b1d2,e1g1","g8e7,e8g8,e8g8"
22406,2052,2025,0-1,-,11,9,-,"9,10,10,11,11",9,"h2h3,h2h3,h2h3,e1g1,e1g1",f6h5
22407,1412,1411,0-1,-,11,11,-,"10,11",11,"e1c1,e1c1",e8g8
22408,2045,2062,1-0,9,-,9,-,9,"8,9",d3d4,"b8c6,b8c6"
22409,950,959,0-1,13,-,-,-,"10,11,12,13",-,"f3f7,f7f8,c1e3,c1e3",-
22410,897,1191,0-1,5,-,-,-,5,-,f3g5,-
22411,1651,1594,1-0,-,-,12,-,"5,6,7,8,9,10",12,"c2c4,c2c4,e1g1,e1g1,e1g1,e1g1",e8g8
22412,2217,2214,1-0,-,13,-,-,"9,10,11,12,13",-,"g5f6,f4g5,h4g5,f3e3,g5f6",-
22413,1870,1848,1-0,-,-,-,-,12,"5,6,7,8,9,10,11,12,13,14,15",e4g2,"e8g8,d7d6,c5e7,d7d6,f6e4,f7f5,c5b6,e7f7,h8f8,e8g8,a8c8"
22414,599,670,1/2-1/2,7,-,-,-,7,-,b1d2,-
22415,2039,1995,0-1,6,-,7,-,"4,5,6",7,"b5a4,a4b3,a2a4",e8g8
22416,946,791,1-0,-,-,-,-,-,-,-,-
22417,1578,1578,1-0,-,13,-,-,"7,8,9,10,10,11,11,12,12,13,13","11,12,13,14,15","c2c3,g5d2,c2c3,h4g3,h4g3,c2c3,c2c3,b2c3,b2c3,e1c1,e1c1","b4e7,h7h5,c7c5,d6b6,h7h5"
22418,1151,1066,0-1,9,-,6,-,"8,9","5,6","d1h5,f3f7","f6e4,e8g8"
22419,1409,1370,0-1,8,-,8,-,8,8,d3c2,h7h6
22420,2005,1982,1-0,-,-,11,-,"8,9,10,11,12,13,13,14,14,15",11,"d3e2,h2h3,g5e3,h2h3,d3e2,f3e5,f3e5,f3e5,f3e5,g3e5",d6g3
22421,1950,1954,1-0,-,13,-,-,"10,11,12,13,13","8,9,10,11,12,13,14,15","h2g3,d3e4,g3g4,g3g4,g3g4","g6h6,e8g8,c8d7,c8d7,f6e7,c5d4,e8g8,d7c5"
22422,1538,1532,0-1,-,-,-,-,"12,13","11,12,13,13,14,15","a3c2,b2a3","a5b6,f8a3,a8c8,a8c8,a8c8,b6a6"
22423,2169,2113,0-1,5,-,5,-,5,"4,5",c2c4,"d7d5,e8g8"
22424,1362,1346,1-0,-,-,-,-,-,-,-,-
22425,1319,1349,0-1,-,-,-,13,"4,5,6,7,8,9,10,11,12,13,14,15",13,"b1c3,a2a4,c4b3,c4b5,g5f3,h2h3,d1f3,b1c3,e3g3,e1g1,e1g1,e1g1",e8c8
22426,1384,1437,1-0,-,-,-,-,"14,15","8,9,10,11,12,13,14","a8c6,f3c6","c6d5,c8b7,e8g8,e7e6,e7e6,e8g8,e8g8"
22427,1668,1707,1-0,6,-,-,-,6,"9,10",e3e4,"g4e2,e8c8"
22428,1500,1261,0-1,-,-,-,-,-,"4,5,6,7,8,9",-,"d7d5,c5e7,d7d5,c7c6,a7a5,g4h5"
22429,2102,2074,1-0,6,-,-,-,6,"13,14,15",e4d5,"f8c5,f6e5,e5e3"
22430,1829,1829,1-0,8,-,13,-,"6,8","11,12,13","h2h3,c2c3","e8g8,h7h5,e8g8"
22431,1360,1329,0-1,-,-,-,-,-,15,-,g8f6
22432,2202,1933,0-1,-,15,-,14,"11,12,13,14,14,15,15",14,"b3a4,b1c3,b1c3,e1c1,a4b3,e1c1,e1c1",e8c8
22433,889,874,0-1,5,-,8,-,"4,5","5,6,7,8","d2d3,c2c3","c6d4,g4f6,c5f2,e8g8"
22434,1601,1521,1-0,-,-,-,14,"8,9,10,11,13,14,15","8,9,10,11,12,13,14","h2h3,g2g4,d1e2,c3d5,e1g1,a1c1,h3h4","g4h5,h5g6,e8c8,e5d3,d6f4,f4g3,a8d8"
22435,1566,1582,0-1,-,-,5,-,-,5,-,d6e5
22436,1667,1732,0-1,9,-,13,-,"7,8,8,9,9","8,9,10,11,12,13","e1g1,e1g1,e1g1,e1g1,e1g1","e8g8,e8g8,c6c5,e8g8,b5c4,c6c5"
22437,996,1005,1-0,9,-,-,-,9,"13,14,15,15",c3b5,"c6e5,c5e7,c5e7,c5e7"
22438,1023,1041,0-1,-,-,-,-,"4,5,6,7",-,"h2h3,c2c3,d1b3,b1c3",-
22439,2055,2124,0-1,7,-,10,-,"5,6,7",10,"b1c3,c4b3,b1d2",b8d7
22440,1372,1266,1-0,4,-,-,-,4,"10,11,12,13,14,15",d2d4,"d8c7,d8c7,d8c7,d8c7,b5b4,e8g8"
22441,1602,1621,0-1,6,-,15,-,6,"12,13,14,15",e1g1,"h7h6,g7f6,f5g4,f5c2"
22442,1393,1370,0-1,13,-,9,-,"10,11,12,13,13","5,6,7,8,9","g1e2,a1c1,a1c1,a1c1,a1c1","f6e5,e5c5,c5b4,b8c6,b7b6"
22443,1585,1814,1-0,-,12,-,-,"7,8,9,10,11,12,12","9,10,11,12,13,14","c2c3,e2f3,e1g1,e1g1,e3f2,e3f2,e3f2","e7f5,c6c5,e7f5,h5h4,f5e3,h8h1"
22444,1153,1172,1-0,10,-,9,-,10,"8,9",b4b5,"c5b4,c5b4"
22445,2287,2241,1-0,-,-,-,13,"8,9,11,11,13,13,14,14","9,10,11,11,12,12,13,13","d3f5,d3f5,e1f2,e1f2,f4e5,f4e5,e1g1,e1g1","f5d3,e8g8,c6c5,c6c5,c6c5,c6c5,e8c8,e8c8"
22446,1425,1435,1-0,7,-,-,13,"6,7","10,11,13,13","f3e5,d1f3","h6g4,e7h4,f7f5,f7f5"
22447,1471,1468,1-0,-,15,-,-,"13,14,15,15","4,5,6,7,8,9","e1c1,d5e6,d5e6,d5e6","d7d5,f6e4,e8g8,c6e5,e8g8,e6d5"
22448,1576,1551,0-1,4,-,-,6,4,6,c2c3,g7g5
22449,1827,1828,1-0,4,-,13,-,4,13,d1e2,e8g8
22450,1408,1387,1-0,10,-,8,-,10,"6,7,8",d2d4,"c5d4,d4f6,b8c6"
22451,1732,1714,0-1,4,-,7,-,4,"6,7",e1g1,"e8g8,b8c6"
22452,2287,2163,0-1,8,-,10,-,"7,8","8,9,10","c1e3,a4a5","e8g8,b7b6,d6d5"
22453,1281,1305,1-0,-,-,8,-,-,8,-,f6g4
22454,1572,1705,0-1,7,-,12,-,7,"10,11,12",e1g1,"b4d6,g6d3,b6c7"
22455,1461,1500,1-0,12,-,-,-,"6,7,8,9,10,11,12",-,"b5c4,f3e5,d1h5,e5g6,h5h4,e4e5,h4h5",-
22456,1554,1593,1-0,-,-,13,-,"9,11,12,13,14,14,15,15","13,13","f3g5,h1h5,f3d5,b1d2,d2f3,d2f3,e1c1,c2c3","e8c8,e8c8"
22457,1244,1168,1-0,12,-,11,-,"7,8,9,10,12,12","9,10,11","f4g3,d3g6,f4e3,d3b5,e1g1,e1g1","g6f4,b6d4,e8g8"
22458,2001,2066,0-1,8,-,7,-,"5,6,7,8",7,"b1c3,c2c3,b1d2,e1g1",e8g8
22459,900,905,1/2-1/2,-,-,-,-,"13,14","9,10,11,12,13,14,15","e1g1,e1g1","c5b4,a5a1,d7b6,f6e5,d7e5,a1e5,e5e2"
22460,1343,1345,0-1,-,12,-,-,"5,6,7,8,9,10,11,11,12,12","11,12,13,14,15","d1e2,c1d2,d3d4,g5d2,g5d2,d1e2,e1c1,e1c1,e1c1,e1c1","b4c3,f6f5,e8c8,a5c6,a6b5"
22461,1492,1504,1-0,7,-,5,-,"5,6,7",5,"e4e5,d2d3,e4e5",e8g8
22462,1909,1887,1-0,9,-,5,-,"6,7,8,9",5,"h2h4,d4e5,h2h4,e1g1",b8d7
22463,1682,1768,1-0,8,-,7,-,8,7,e4e5,c7c6
22464,1196,1194,1-0,-,-,8,-,-,8,-,e8g8
22465,1727,1745,1-0,-,-,-,-,"6,7,8,9,10,11","12,13,14,15","f3e5,f3e5,d4e6,h5e2,h5e2,d2d3","d5e4,h8h2,f5g4,e8c8"
22466,2012,2022,0-1,13,-,-,-,"11,13,13","7,8,9,10,11,12,13,14","g1f3,e1c1,e1c1","b4c3,d8a5,a5c3,f6e5,a5e5,b8d7,d7b6,c8d7"
22467,1747,1775,1-0,6,-,5,-,"4,5,6",5,"d2d4,d2d4,e1g1",e8g8
22468,1089,993,1-0,-,13,-,11,"11,12,12,13,13","7,8,9,10,11,11","h3h4,d5f6,d5f6,e1c1,e1c1","g4f3,h5g6,e7d8,e8c8,f6d5,f6d5"
22469,992,948,1-0,15,-,-,-,"11,12,15","10,14,15","e3c5,e3c5,c2c4","c8d7,c4d5,e8c8"
22470,1733,1725,0-1,7,-,-,7,7,7,h2h3,e8c8
22471,1598,1669,0-1,-,8,8,-,8,8,d4c6,d7d5
22472,802,739,1-0,-,-,-,-,"6,7","5,6","c3d5,d5f6","c7c6,f6d6"
22473,1878,1902,0-1,8,-,12,-,"4,5,6,7,8","10,11,12","b1c3,c2c3,e1g1,e1g1,e1g1","e8g8,e8g8,c8g4"
22474,2053,2057,1-0,-,-,7,-,"9,10,11,12,13,15,15",7,"e5d7,g5e7,g5e7,d4e5,e1g1,e1g1,e1g1",b8d7
22475,1120,988,0-1,9,-,8,-,9,8,f4g5,e6e5
22476,1532,1495,1-0,-,13,5,-,"7,8,8,9,9,10,10,11,11,13,13",5,"e1g1,f3g5,f3g5,h2h3,h2h3,c3e4,c3e4,f3g1,f3g5,d2b4,d2c3",e8g8
22477,1192,1171,0-1,-,-,-,-,"5,6,7,8,9,10,11,12,13,14,15","6,7,8,9,10,11,12,12,13,13,14,14,15,15","d2d4,e1g1,d2c3,c4f7,c3d4,e1g1,d4f6,d4f6,e1g1,e1g1,e1g1","e8g8,d7d6,e5d4,e8g8,e8g8,d5e4,g4d1,g4d1,f6h5,f6h5,c7c5,c7c5,c6c5,c6c5"
22478,1777,1769,1/2-1/2,7,-,6,-,"5,6,7",6,"c2c3,e4e5,c4b3",b8c6
