AvgWhiteCentralization,AvgBlackCentralization,AvgWhiteCentralizationWins,AvgBlackCentralizationWins,AvgBlackControl,AvgWhiteControl,AvgBlackControlWins,AvgWhiteControlWins
0.8015086939992396,0.0,0.799878000042069,0.0,0.0,1.4085579366508594,0.0,0.799878000042069
0.8015113602242018,0.2770693624261836,0.7998820978167042,0.27480809490579206,1.3567911120008007,1.4085877289560604,1.3490579204466155,0.7998820978167042
0.9747569315803702,0.25524437012486356,0.9726503284487115,0.25290941253142163,1.3340676285934574,2.8167199030730257,1.3262498836234988,0.9726503284487115
0.9454760330909601,0.47736514231917154,0.9438722857564078,0.47303493703884736,2.587675019530076,2.7918394327263987,2.577543467634942,0.9438722857564078
1.1112201865189475,0.4241653227018201,1.1089323701004654,0.41909950179261535,2.5270712919091647,3.824700237405964,2.5155748009498535,1.1089323701004654
0.9502950635714215,0.6286006271979481,0.9509332996249947,0.6270168331354334,3.201705257040948,3.6790670180043885,3.181555726292752,0.9509332996249947
1.165703005220807,0.470594129848787,1.168443451879319,0.46854840587810614,3.1145170502941086,4.203982243243514,3.0972309555415825,1.168443451879319
1.0680198466396031,0.5902069864180824,1.0725111190742185,0.5899340894799358,3.8222522928882876,4.090081691976144,3.810163728253022,1.0725111190742185
1.1731854778066315,0.5164081534435565,1.1789952990281847,0.5158095859449635,3.7167751185618174,4.769112766576095,3.7046391872684485,1.1789952990281847
1.1066685391004294,0.6012317939252899,1.1130264157312852,0.601617112498835,4.309382899329936,4.643973438189624,4.302614409544226,1.1130264157312852
1.1800090320638266,0.5398163480355261,1.1871069845959064,0.5419096039927236,4.187636108184053,5.204174820613177,4.184313634031438,1.1871069845959064
1.119362969062227,0.6287266410274434,1.1253907900295732,0.6288133221382591,4.705333025394881,5.067759848172955,4.706828995242094,1.1253907900295732
1.1872112178070633,0.5622463739001166,1.1952976467108876,0.5650641773628938,4.578528667282735,5.519165093012978,4.58487747957993,1.1952976467108876
