Id,WhiteElo,BlackElo,Result,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
3304,2351,2523,0-1,"6,7,8,9,10,11,12,13,14,15","6,7,8,8,9,9","h2h3,b1c3,c3b5,c3b5,c1b2,f3d2,e1g1,b3b4,e1g1,c2c4","f8d6,e8c8,g4f3,g4f3,e8c8,e8c8"
3314,2748,2658,1-0,"14,15",15,"e3c5,h1g1",g4f5
3313,2629,2583,0-1,"9,10,11,12,13,14,15",-,"a1d1,a1c1,d2e4,a1d1,e3c5,c3e4,f1g2",-
3310,2590,2500,1-0,"9,10,10,11,11,12,12,13,13,14,14,15",8,"d1c2,g5h4,g5h4,e1g1,e1g1,g4g5,g4g5,f3g5,f3g5,h2h4,h2h4,c3a4",e8g8
3315,2760,2738,0-1,7,6,a1b1,g8f6
3316,2649,2824,0-1,8,10,d4c6,d7d6
3319,2336,2509,0-1,4,8,c2c4,e8g8
3318,2529,2493,1/2-1/2,12,11,e1g1,e8g8
3321,2361,2545,0-1,4,9,e1g1,e8g8
3320,2322,2725,0-1,7,"6,7,8,9",d1c2,"b4e7,e8g8,b8d7,f6d5"
3322,2604,2428,0-1,8,"4,5,6",h2h3,"d7d5,d7d6,e8g8"
3326,2598,2588,1-0,8,7,h2h3,c8d7
3317,2407,2577,0-1,"10,11,12,13,13","13,14,14","c3d1,a2a4,a2a4,e1d2,e1d2","g7c3,b6b5,b6b5"
3327,2375,2500,0-1,8,6,g5f6,h7h6
3323,2502,2365,1-0,"7,8,9,10,11,11,12,12",7,"e2e3,f1d3,g5h4,g1e2,h2h3,h2h3,e1g1,e1g1",e8g8
3324,2627,2785,1-0,"4,5,6,7,8,9,10","10,11,12,13,14","f3g5,e4d5,c4b5,d5c6,b5d3,g5f3,e1g1","d5f4,f4g2,f4g2,f4g2,h7h5"
3330,2588,2501,0-1,5,4,d2d4,d7d5
3328,2514,2370,1/2-1/2,7,"8,9",c1g5,"d6e5,d6e5"
3332,2833,2620,1-0,"4,5,6",6,"e1g1,a2a4,d2d3",f6e4
3333,2351,2510,1-0,7,7,e1g1,e8g8
3329,2460,2512,0-1,"13,15","13,14,14,15,15","e1g1,g3c3","f6c3,c3g3,c3g3,c3g3,c3g3"
3325,2463,2510,1-0,"4,5,6,7,8,9,10,12,13,14,15",5,"f3g5,c2c3,e1g1,b1d2,g5h4,b1a3,d2c4,h4f6,b3d5,h4f6,e1g1",d7d6
3334,2429,2509,1-0,"8,9,10,12,13","6,7","f2f4,d2c3,b5d4,g1f3,e1c1","b4d2,e8g8"
3336,2565,2484,0-1,"7,8,9",11,"e4d5,d2d4,e1g1",e8g8
3335,2750,2566,1-0,"9,10","9,10,11,11","b3b7,b3d5","e6d5,f8b4,e8c8,e8c8"
3337,2407,2520,0-1,"10,11,11",9,"e1c1,g2g4,g2g4",e8g8
3340,2601,2463,1/2-1/2,6,4,e1g1,e8g8
3341,2751,2578,0-1,"4,5,6","5,6,7,8,9","e1g1,d2d3,a2a4","d7d6,e8g8,h7h6,h7h6,c8e6"
3331,2489,2539,1/2-1/2,"10,11,12,13","10,11,12,12,13,13,14,14","c4b5,e5c4,a2a4,e5c4","f8b4,a7a6,e8c8,e8c8,b4c3,b4c3,d5c3,d5c3"
3342,2415,2692,0-1,6,7,c1f4,e8g8
3339,2521,2529,0-1,"6,7,8,9,10,11,12",13,"d4d3,c2c4,d4d3,f3d2,d2c4,c4e3,e1g1",e7f8
3344,2462,2507,1-0,"7,8,9",4,"d2d4,e1g1,e1g1",c7c5
3338,2562,2479,1-0,"11,12,13,14,15","6,7,9","d2h6,d2h6,e2e3,g5h7,g5h7","c7c5,f6h5,c8b7"
3343,2526,2466,0-1,"6,7,8,9,10,11","12,13","d4f5,b5a4,a4b3,b1c3,b1c3,a2a4","b6d5,e8g8"
3348,2691,2536,1-0,8,"8,9",e1g1,"c8d7,e8g8"
3345,2479,2513,0-1,"10,11","11,12,13,13,14,14","h2h4,h2h4","b8c6,e8g8,f7f5,f7f5,e8c8,e8c8"
3346,2642,2533,1/2-1/2,"11,12,12,13,13,14,14","11,12,13,14,15","h2h3,h2h3,h2h3,h2h3,h2h3,f2e3,f2e3","h4h3,h4h3,e7g6,d7c6,h4h3"
3350,2546,2512,1-0,"7,8",4,"c2c3,e1g1",e8g8
3351,2591,2615,0-1,7,"5,6",e1g1,"b4e7,e8g8"
3349,2537,2481,0-1,"10,11","11,12,13,14,14","f3g5,b1d2","g7g6,g7g6,f6h5,e8g8,e8g8"
3353,2541,2437,0-1,6,"7,8",e1g1,"d5d4,b8c6"
3356,2763,2804,1-0,"4,5",13,"b5a4,e1g1",g8e7
3352,2553,2585,0-1,"11,12,13,14,15",7,"e1g1,d2c3,c4e2,e1g1,e1g1",e8g8
3354,2603,2590,0-1,5,8,f3e5,e8g8
3347,2417,2608,0-1,"10,11,14,14,15","7,8,9,11,11,12,12,13,13","g3d6,d1b3,h1h8,h1h8,h8a8","e8g8,e4d2,e4d2,e4d2,e4d2,d2c4,d2c4,h5g4,h5g4"
3355,2514,2412,1-0,"8,9,10","8,9","c3e4,b2c3,h2h3","d5f4,b8d7"
3359,2513,2446,0-1,6,5,e1c1,c7c6
3357,2373,2541,0-1,-,"8,9,10",-,"f6g4,f6g4,e8g8"
3363,2513,2469,1-0,6,"4,5,6,7",f4h6,"c7c5,c7c6,b7b5,g7h6"
3358,2546,2459,0-1,"10,11,12,13,14,14","11,13","f3e5,e5c6,f4d6,b2b3,b2b3,b2b3","b7c6,a8b8"
3362,2787,2699,1-0,"4,5",11,"b5a4,e1g1",a6a5
3360,2546,2471,0-1,"7,8,9,10,11,11,12,12,13,13,14,14,15",5,"c4d5,g1f3,g5h4,g1f3,e1g1,e1g1,h4f2,h4f2,g2g3,g2g3,c2d2,c2d2,g3g4",e8g8
3364,2766,2853,0-1,7,9,b2b4,e8c8
3365,2538,2353,1-0,9,8,e1g1,e8g8
3366,2505,2380,1-0,11,4,d3e4,e8g8
3361,2542,2391,1-0,11,"7,8,9,10,11",f1e2,"d7d6,e8g8,f6d7,d8a5,e8g8"
3371,2609,2418,1-0,8,9,e1g1,e8g8
3368,2531,2485,1-0,10,"5,6,7,9,9",c2c3,"h7h6,e7f6,c8e6,e8c8,e8c8"
3372,2626,2789,0-1,"4,5,6","14,15","b5a4,e1g1,e1g1","e4f6,f8e7"
3370,2655,2609,1-0,"9,10,11,12,13,14,15",5,"h4f6,c4d5,e1g1,b4c5,a1b1,e1g1,e1g1",h7h6
3367,2490,2627,1-0,"10,11,12,13,14,15",-,"c7g3,e1d1,e5f6,d2d4,c1f4,a3c2",-
3369,2545,2520,0-1,"9,10,10,11,11",-,"e1c1,f5e6,f5e6,h5a5,h5a5",-
3375,2684,2746,1/2-1/2,"4,5","10,11","e1g1,d2d3","d6e7,e6e5"
3377,2618,2653,0-1,7,7,c1e3,e8g8
3374,2600,2715,1-0,8,"13,14,15",e1g1,"c8d7,c8d7,c8d7"
3373,2582,2560,1-0,"10,14,15",8,"c4b5,b5c4,f4e3",b8d7
3379,2496,2613,0-1,5,6,b1c3,c7c6
3378,2552,2544,0-1,7,"9,10,11,12,13",e1g1,"b7c6,f6d7,c5e7,b6b7,e8g8"
3380,2401,2663,0-1,"13,14,14,15,15",-,"d4b3,e1c1,e1c1,b5e2,b5e2",-
3382,2439,2551,0-1,8,"9,10,11",e4e5,"c5b6,a7b6,e6e5"
3376,2607,2356,1-0,7,"7,8,9,10,11,12,13,13,14,15",d4c5,"c5d4,d4c3,g8e7,g8e7,c5e7,h7h6,c7d8,c7d8,h7h6,d7c8"
3385,2802,2645,0-1,"7,8,9",-,"a2a4,c4d3,e1g1",-
3384,2615,2572,0-1,"11,13,13,14,14,15,15","12,13","c1f4,g3e4,g3e4,d2b4,d2b4,d6c4,d6c4","a5c7,b4d2"
3386,2566,2608,1-0,7,7,e1g1,d7d6
3387,2556,2500,0-1,10,7,b3a3,e8g8
3383,2544,2477,1-0,"6,10,11,11,12,12,14,15,15",8,"b5c4,b1d2,e3c5,e3c5,a1b1,a1b1,d2c4,f2c5,f2c5",e8g8
3391,2586,2625,1/2-1/2,"4,5","6,7","b5a4,e1g1","b7b5,e8g8"
3381,2510,2586,1/2-1/2,"6,7","9,10,11,12,13,14,14,15","d2c3,e1g1","c7c5,c5c4,b8c6,g7g6,h7h5,g6g5,g6g5,c5c4"
3389,2522,2381,1-0,5,"9,10,11",d4e5,"e8g8,e8g8,b6c7"
3388,2569,2535,1-0,"7,8,9,10,11,11,12,12",10,"c4b3,f2f4,f2f3,d1d2,e1c1,e1c1,g4g5,g4g5",c8d7
3390,2417,2557,0-1,9,"6,7,8,9,10,11",e3d4,"c8e6,d8d7,c5d4,d8e7,c8b7,e8g8"
3392,2619,2387,1/2-1/2,6,6,d3f4,d6d5
3393,2636,2677,1-0,9,"9,10",e1g1,"e8g8,d4c3"
3395,2459,2500,1-0,9,8,e1g1,h7h6
3397,2400,2708,0-1,8,8,c1g5,c5c4
3398,2525,2526,0-1,"7,8","4,5","e1g1,e1g1","d7d6,e8g8"
3402,2658,2628,1-0,8,7,d4f5,e8g8
3396,2827,2812,1-0,"5,6","6,7,8","d2d4,d2d4","e8g8,e8g8,b8d7"
3399,2533,2618,1-0,4,"9,10",e1g1,"g4h5,e8g8"
3394,2572,2491,1-0,9,"9,10,11,12,13,14,15",g2g3,"g8h6,f8e7,f8e7,b3c1,f8e7,g7g6,f8e7",,,,
3400,2511,2391,1-0,9,7,d1c1,b8c6,,,,
3403,2502,2354,1-0,11,"5,6",f3d2,"h7h6,g6g5",,,,
3404,2710,2693,1-0,"12,12,13",5,"a1c1,a1c1,e1e2",e8g8,,,,
3407,2520,2475,1/2-1/2,7,7,e1g1,e8g8,,,,
3406,2469,2549,0-1,"9,10,10","9,10,11,12,12","e1g1,g5f4,g5f4","h7h6,d8c7,d8c7,f6h5,f6h5",,,,
3401,2595,2457,1-0,"11,12,12,13,13,14,14,15,15",5,"e1g1,c3b5,c3b5,c3b5,c3b5,h7g6,h7g6,h7g6,h7g6",e8g8,,,,
3410,2671,2491,1/2-1/2,6,8,e1g1,b7b5,,,,
3405,2715,2561,0-1,"9,10,11,12",5,"f3d4,e3f4,b3d4,b2b4",e8g8,,,,
3409,2582,2684,0-1,7,7,c1f4,e8g8,,,,
3411,2644,2451,1-0,4,"9,10",e1g1,"c5d4,e8g8",,,,
3408,2376,2572,0-1,"10,11,12,13,13",7,"h2h4,h4h5,c1h6,e1c1,e1c1",e8g8,,,,
3413,2615,2758,0-1,6,4,d2d4,c7c5,,,,
3414,2549,2407,1-0,4,"6,7,8,9,10",c2c4,"e8g8,c7c6,d7d5,c6d5,b8c6",,,,
3417,2562,2396,1/2-1/2,-,-,-,-,-,-,-,-
3416,2430,2571,0-1,"6,7",4,"d2d4,c2c4",d7d6,,,,
3420,2367,2521,1-0,5,4,d2d4,c7c6,,,,
3418,2586,2577,0-1,"8,9,9",8,"b1d2,h2h3,h2h3",f6h5,,,,
3421,2455,2515,1-0,"4,5",5,"f3g5,c2c3",d7d6,,,,
3419,2606,2581,0-1,9,"7,8",a2a3,"e8g8,e8g8",,,,
3412,2695,2812,1-0,"12,13,14","12,13,13,14,14,15,15","d4c5,e2d4,f1b5","f8c5,f5e4,f5e4,f6d5,f6d5,e8g8,e8g8",,,,
3415,2501,2528,1-0,8,"9,10,11,12,13,14,14,15,15",f2f4,"c7d8,a7a6,e8g8,b7b6,b7b6,e5c4,e5c4,a8c8,a8c8",,,,
3423,2590,2605,0-1,"4,5,6,7,8,9,10","8,9,10","f3g5,e4e5,c4b5,f3d4,c1e3,b5c6,b1d2","e8g8,d7c6,d8e7",,,,
3422,2636,2643,0-1,11,10,f1b5,h7h6,,,,
3424,2507,2419,1-0,6,"14,15",e1g1,"c5d4,d7c5",,,,
3429,2644,2708,1-0,9,7,e1g1,e8g8,,,,
3426,2582,2573,0-1,"10,11","10,11","c1h6,d1d2","g7h6,e8g8",,,,
3425,2530,2436,1-0,7,"7,8,9,10",f3e5,"b7b5,f6e4,d7e5,g7e5",,,,
3430,2384,2501,0-1,11,"10,11",a2a3,"e8g8,e8g8",,,,
3431,2343,2501,0-1,"6,7,8,9",12,"h2h3,b1d2,d1f3,e1g1",d8b6,,,,
3432,2331,2587,1-0,"5,6,7,8,9",5,"e1g1,h2h3,d4d5,d4e5,e1g1",e8g8,,,,
3428,2503,2489,1-0,"8,9,10,10","9,10","c3d5,g2g4,f3d4,f3d4","h7h6,f5g6",,,,
3433,2436,2525,0-1,7,8,d1e2,d7d6,,,,
3427,2506,2388,1-0,"12,13,14,15","6,8,9,10,11","h4h5,h5g6,g6f7,g6f7","g6e5,e7d8,e8g8,d7d6,e8g8",,,,
3436,2525,2462,1-0,9,7,d1c2,e8g8,,,,
3435,2517,2383,1-0,"11,12",11,"c3a4,b2b4",c5b6,,,,
3438,2570,2515,1-0,10,6,e4d5,a5b4,,,,
3440,2514,2415,0-1,"7,8",10,"b5a4,d4e5",f6d7,,,,
3437,2523,2348,1-0,"5,6,7,8,9,10",13,"b5d3,e1g1,c3e2,c2c3,d2c3,e1g1",e8g8,,,,
3439,2480,2506,1/2-1/2,"7,8,9,10,11,12","4,5","c1e3,d4d5,b2b4,d2b3,a2a3,e1g1","d7d6,e8g8",,,,
3441,2505,2543,0-1,11,"4,5,6,7,8",e1g1,"d7d5,b4c3,c7c5,e6d5,d8c7",,,,
3445,2659,2659,0-1,7,"5,6",e1g1,"b4e7,e8g8",,,,
3442,2529,2620,0-1,"6,7",9,"d3b5,h1g1",e8c8,,,,
3434,2537,2657,1-0,"9,10,11,12,13","7,8,9,10,10,11,12,13,14,15","f3e5,a1b1,d1f3,d4e5,d3c2","e7d6,f6g4,d8b6,c6e5,c6e5,c5d4,c5d4,c5d4,b5d3,a6d3",,,,
3446,2627,2553,1-0,6,15,d2d4,e8g8,,,,
3443,2741,2802,1/2-1/2,"7,8,9,10,11,12,12",4,"d2d3,f3d2,c2c4,b3b4,e1g1,e1g1,e1g1",c7c5,,,,
3448,2554,2490,1-0,4,4,c2c4,e8g8,,,,
3444,2525,2518,1-0,"14,15,15",13,"a1c1,a1c1,a1c1",g7g6,,,,
3449,2535,2495,1-0,"4,5","6,7,8","b5a4,e1g1","b7b5,e8g8,e8g8",,,,
3447,2503,2499,1-0,8,"7,8",c4d5,"d5c4,d5c4",,,,
3455,2566,2388,1-0,4,7,e1g1,d5c4
3453,2702,2725,1/2-1/2,9,7,d1d2,e8g8
3451,2538,2530,0-1,11,"8,9",c3d1,"c5d4,e8g8"
3454,2539,2482,0-1,"10,11,12,13,13,14,14","11,12,13,14,15,15","d1c1,e1g1,c1f4,f4d2,f4d2,e1g1,e1g1","e5f4,e7g6,e8g8,e8g8,e8g8,e8g8"
3452,2457,2589,0-1,"12,13,14,15",11,"h5h6,f2f3,g3f4,f2g3",f5e4
3456,2520,2555,1-0,8,7,d1c2,e8g8
3457,2503,2736,0-1,"4,5","8,9","b5d7,e1g1","d7e5,f6d7"
3458,2502,2421,0-1,"10,11,12","8,9","e1g1,d4e6,c3e2","a7a6,h7h5"
3450,2381,2543,1-0,"4,5,6,7,8,9,10,11,12,13,14,15,15",6,"c2c3,d2d3,f3g5,h4h5,f3g5,f3g5,c4e6,c4d5,g5e7,d1d2,a2b3,g5e3,g5e3",h7h6
3459,2430,2572,0-1,-,"8,9,10,11",-,"b5b4,e8g8,c6c5,e8g8"
3462,2633,2626,1/2-1/2,"10,11,12,13,14,15",5,"e4f5,g2g4,e3d2,d3b1,d3e4,e2c3",e7e5
3460,2526,2372,1-0,"6,7,8,9,12,13",14,"b1d2,g2e4,e5c4,c4e3,d4d5,e1g1",c6d5
3461,2501,2442,0-1,"10,11,11,12,12,13,13,14,14,15,15",5,"e1g1,g3h4,g3h4,d4e5,d4e5,f3f4,f3f4,g3h4,g3h4,e1g1,e1g1",c7c5
3464,2779,2585,1-0,-,12,-,g7g5
3466,2512,2400,0-1,12,5,e1g1,e8g8
3463,2527,2583,1-0,"9,10,10","7,8","e1g1,d3h7,d3h7","e7b4,e7b4"
3469,2651,2670,1-0,"4,5","6,7","b5a4,e1g1","b7b5,e8g8"
3465,2509,2476,1-0,7,"7,8",f3e5,"e8g8,g4f3"
3467,2366,2515,0-1,8,"5,6,7,8",e1g1,"c5e3,c6a5,e8g8,e8g8"
3470,2563,2530,1-0,10,7,d4c2,e8g8
3472,2438,2620,0-1,"7,8,9",7,"e1g1,e1g1,e1g1",a7a6
3471,2910,2745,0-1,8,6,h2h3,e8g8
3474,2380,2566,1-0,4,-,d2d3,-
3473,2594,2529,1-0,"9,10",6,"e1g1,e1g1",e8g8
3468,2542,2549,0-1,6,"9,11,12,13,14",d2d4,"d6e5,d8d4,d5b6,d8b6,e8g8"
3476,2497,2562,1-0,6,4,e1g1,d7d5
3477,2571,2641,1-0,"7,8,9",8,"a2a4,h2h3,h2h3",d7d6
3479,2336,2508,0-1,10,"4,5",e1g1,"b8c6,d7d5"
3481,2531,2457,1-0,4,-,e1g1,-
3480,2557,2453,0-1,10,6,e1g1,e8g8
3478,2494,2538,1-0,5,"7,8,9,11,12,13",e1g1,"e8g8,e8g8,d5e4,f6e4,f7f5,c7b6"
3482,2553,2582,1-0,"7,8,9",4,"e1g1,c4b5,e1g1",d7d6
3485,2482,2596,0-1,10,-,c1b2,-
3483,2428,2548,0-1,"8,9,10,11,12,14",4,"a2a3,a3b4,b2a1,b4c5,b1c3,e1g1",e8g8
3475,2549,2335,1-0,"7,8,9,10,11,12,12,13,13","7,8,9","c1d2,e1g1,e1g1,c3e2,d1e2,f3d4,f3d4,e1c1,e1c1","g4f3,h5g6,g6d3"
3487,2553,2560,1/2-1/2,9,"4,5,6,7,8,9",d2g5,"c7c5,e8g8,b4d2,e8g8,e6e5,e8g8"
3486,2578,2585,0-1,4,"10,11,12,13,14,15",e1g1,"f8c5,b4c5,a5c4,a6b5,c7b6,c6c5"
3484,2730,2678,1-0,-,"4,5,6,7,8,9,10,11,12,13,14,15",-,"e8g8,c8b7,b7g2,g2f3,e4d3,e4d3,d7d6,b8d7,e6e5,g6h5,h5e2,h5e2"
3489,2447,2525,0-1,8,9,e1g1,g5g4
3492,2443,2511,1-0,"4,5,6,7",7,"b5a4,e1g1,a4b3,e1g1",d7d6
3490,2533,2672,1-0,9,9,h1g1,e8g8
3491,2549,2457,1/2-1/2,6,9,d2d4,a7a5
3493,2422,2528,0-1,"10,11",-,"c3b5,f2f3",-
3496,2525,2402,1-0,6,7,d1b3,e8g8
3495,2619,2646,1-0,10,8,c1g5,h7h6
3488,2333,2523,1-0,"10,11,12,13,14,14","12,13,14","d3b3,g5f7,f7h8,c1e3,e1c1,e1c1","e7e6,e4c2,d7c5"
3494,2481,2535,1-0,"14,15",13,"f3c6,e1c1",c6e6
3498,2574,2445,0-1,7,8,d4c6,e8g8
3499,2498,2676,0-1,8,7,e1g1,e8g8
3502,2514,2496,0-1,"7,8",-,"d4c5,e1g1",-
3500,2708,2840,1-0,9,9,d3d4,h7h6
3497,2420,2594,0-1,"4,5","7,8,9,9,10,10","b5d7,e1g1","f8e7,h7h5,c5d4,c5d4,e8g8,e8g8"
3501,2502,2482,1-0,"11,12,12,13,13","9,10,11","f1b5,b5c6,b5c6,e1g1,e1g1","e8g8,e8g8,e8g8"
3506,2623,2492,0-1,9,9,e1g1,e8g8
3507,2368,2501,0-1,"9,10,11",15,"d1b3,c4b5,f3d4",c3c2
3504,2570,2522,1-0,"10,11,12,14,15",-,"c3d5,d3e3,e3g5,h1h4,e1f1",-
3505,2507,2484,1-0,"8,9,10,11","9,10,10,11,11","e1g1,d3e2,e1g1,h2h3","e8c8,e8c8,e8c8,e8g8,e8g8"
3508,2461,2524,1-0,-,"5,6,7",-,"a7a5,b8a6,e8g8"
3503,2587,2610,1-0,"5,6,7","7,8,9,10,11,12,13,14,14,15,15","d2d3,e1g1,e2e4","d5d4,d5e4,c8a6,f6d5,e8g8,e8g8,d8b6,e8g8,e8g8,e8g8,e8g8"
3510,2622,2490,0-1,"8,9,10","9,10","f3d4,d4b3,g3h5","c5d6,d7e5"
3513,2378,2603,0-1,11,8,e1g1,d7d5
3509,2319,2622,1/2-1/2,"4,5,6,7,8,9,10","8,10,11,12,12,13,13,14,14,15,15","f3e5,d2c3,f3e5,e1g1,e1g1,d1e2,e2e7","e8g8,e7e2,b8d7,g4h5,g4h5,h5e2,h5e2,e8c8,e8c8,d6f4,d6f4"
3514,2653,2385,1/2-1/2,6,5,b1c3,d7d6
3517,2544,2510,1-0,9,10,d1c2,e8g8
3516,2603,2777,1-0,"6,7,8,9,10,11",7,"b1c3,d2d3,b2b4,b4b5,e1g1,e1g1",e8g8
3512,2766,2798,1-0,"9,10,11,12,13,14,14,15,15",-,"b7d7,g2f3,a2a4,b2b4,b3c5,b5d3,b5d3,b3a5,b3a5",-
3515,2469,2563,1-0,"4,5,6,7,8,9,10,11,14",5,"e1g1,d2d3,e1g1,h2h3,e4d5,d2e4,e1g1,d2f1,b3b4",d7d6
3519,2446,2502,0-1,"5,6",8,"d2d4,c1b2",e6e5
3520,2509,2424,1-0,6,6,e4e5,b8c6
3518,2794,2706,1-0,15,"4,5,6,7,8,9,10,11,12,13",e4e5,"d7d5,e8g8,d8a5,a6c5,d7d6,d8d6,c5a4,c8d7,a7a6,e8g8"
3511,2570,2514,1-0,10,"8,9,10,11,12,12,13,13,14,15",e1g1,"h7g6,d7d6,c8f5,c5c4,e8c8,e8c8,e8c8,e8c8,e8g8,e8g8"
3524,2495,2534,0-1,7,5,c1e3,e8g8
3523,2396,2556,1-0,5,8,d2d4,e7f6
3522,2494,2520,1-0,"8,9","13,14,15","c4b3,a2a4","e7f5,c6d5,c7c6"
3528,2503,2465,1-0,7,9,c1e3,e8g8
3527,2604,2414,0-1,4,"7,8,9,10,11",e1g1,"c5d4,d8b6,a7a6,e6d5,e6d5"
3529,2358,2505,0-1,"4,5",7,"e1g1,c2c4",f6e4
3530,2540,2539,1-0,13,5,e1g1,e8g8
3521,2745,2617,1-0,"7,8","5,6,7,8,9,10,12,13,13,14,14,15,15","e3e4,e3e4","c7c5,h7h6,d8c7,c5c4,d5e4,d6e7,c5d4,e7d6,e7d6,d6g3,d6g3,d7c5,d7c5"
3531,2507,2372,0-1,5,5,d2d4,e8g8
3525,2452,2506,1-0,14,"9,10,11,12,13,14,15,15",f1e2,"f6h7,h6g5,f6h5,h5f4,h5f4,h5f4,e8c8,e8c8"
3535,2513,2588,0-1,6,6,c1g5,h7h6
3526,2549,2537,0-1,"11,12,12,13,13",-,"d5d6,e1c1,e1c1,e1c1,e1c1",-
3532,2544,2453,0-1,"7,8",-,"c1f4,c1g5",-
3533,2621,2588,1-0,9,5,d2d3,c7c5
3534,2451,2517,1-0,9,6,e1g1,c6d5
3538,2404,2518,1-0,6,"10,11,12",f3g5,"c8e6,c4c3,e8g8"
3541,2571,2386,1/2-1/2,10,8,a1c1,e8g8
3537,2538,2544,1/2-1/2,"6,7,8",7,"f3e5,d1e2,b1c3",b8d7
3536,2409,2526,0-1,8,"9,10,11,12",e2e4,"e8g8,f6e7,c6c5,e8g8"
3540,2510,2417,1-0,12,"12,13",b1a3,"a7a6,h7h5"
3543,2582,2603,0-1,7,5,b2b4,e8g8
3542,2540,2388,0-1,4,"7,8",c2c4,"c6d5,e8g8"
3545,2550,2481,1-0,"8,9,9,10,10,11,11",5,"e1g1,d3c4,d3c4,g5e7,g5e7,c4e2,c4e2",h7h6
3546,2489,2538,0-1,10,8,e1g1,e8g8
3550,2518,2473,1-0,"4,5","5,6","d2d3,b1d2","c6d4,e8g8"
3547,2526,2683,0-1,"7,8,9,10,11,12,14","12,13,14","c4b3,e5d6,e1g1,d1f3,f3g3,e1g1,e1g1","e5d3,d6f4,e8g8"
3548,2557,2388,0-1,8,"7,8",h2h3,"c8g4,e8g8"
3544,2428,2502,1-0,"6,7,8,9,10,13,13,14,15","4,5","e2e3,c4d5,c4d5,f4g3,f1d3,a1d1,a1d1,f3e5,e1g1","d7d5,d5c4"
3539,2315,2518,0-1,"6,7,8,9,10,11,12,12,13,14,15","10,11,12","h2h3,a2a3,g2g4,g2g4,d1b3,g2f3,d4d5,d4d5,d3b5,d4d5,e1e2","e7e6,e7e6,d6d5"
3551,2508,2510,0-1,-,7,-,b8c6
3549,2531,2547,0-1,"11,12,12","13,14,14,15,15","c1f4,g3e4,g3e4","e8g8,e8g8,e8g8,a5a4,a5a4"
3554,2520,2527,1-0,-,"4,5",-,"e8g8,b4c3"
3553,2719,2504,0-1,"5,7,8","9,10,10","b1d2,e5f3,e1g1","g8e7,e7g6,e7g6"
3552,2566,2581,1-0,"8,9","6,7,8","b1c3,a2a3","b8c6,d7d6,e8g8"
3555,2440,2596,1-0,"8,9,10","9,10","d5e6,d5e6,d1e2","e6d5,e8g8"
3561,2769,2554,1-0,"4,5","5,6,7","f3g5,c2c3","d7d6,a7a5,a7a5"
3560,2437,2510,1-0,"10,10,11,11","8,9,10,11,11","f4d6,f4d6,e1g1,e1g1","e7e6,f8d6,d7d6,e8g8,e8g8"
3558,2620,2685,1/2-1/2,"11,12,12,13,13,14,14,15",9,"e4e5,a1c1,a1c1,e4e5,e4e5,f3e5,f3e5,g2f3",e8g8
3556,2443,2500,1-0,"4,5,6,7,8,9,10,11","5,6,7,8,9,10,11","e1g1,d2d3,e4e5,e4e5,e1g1,b1c3,e1g1,e1g1","e5d4,c5b6,d7d5,e4c3,d4c3,c6e7,h7h6"
3557,2617,2739,0-1,"8,9,10,10,11,11","7,8","a1d1,g1e2,b2b3,b2b3,a1d1,a1d1","e8g8,c8e6"
3564,2529,2625,1-0,8,7,e1g1,e8g8
3559,2447,2524,1-0,"6,7","6,7,8,9,10,11,12,13,14","f3d2,e1g1","f6d5,e4c3,b4c3,b7d5,b8c6,d6d5,b8d7,b7d5,e8g8"
3563,2513,2349,1-0,13,"9,10,11",c3d5,"c7d6,f5e4,e8c8"
3562,2518,2432,1/2-1/2,"11,12,13,13,14,14,15,15","7,8,9,10,11,12,13,14,15","g3g5,d2g5,h3f4,h3f4,f4h5,f4h5,g3g5,g3g5","e8g8,h7h5,c5c4,c5c4,c8d7,b8c6,g6f4,h8h7,c8d7"
3566,2596,2549,1/2-1/2,"12,13,14,15","14,15,15","h2h3,e1g1,e1g1,h2h3","d5d4,h4h3,h4h3"
3565,2379,2599,1-0,"11,12,13,14","11,12,13,14,15","d4c5,a4c5,d4c5,e1c1","b6b4,f8c5,d5d4,e8c8,e5d4"
3568,2538,2561,0-1,13,"7,8",c3e2,"g4f5,e8c8"
3570,2598,2467,1-0,6,4,c2c4,c7c5
3571,2421,2585,0-1,7,4,e1g1,d7d5
3567,2503,2502,1-0,"5,6,7,8,9","10,11,11,12,12","c2c4,e2f3,c1b2,e1g1,e1g1","g8h6,h4g5,h4g5,h7h5,h7h5"
3573,2459,2581,0-1,11,5,e1g1,b7b6
3572,2593,2552,1-0,6,7,e1g1,e8g8
3574,2329,2500,0-1,8,7,e1g1,e8g8
3569,2417,2502,0-1,15,"7,8,9,10,11,12,13,14,15",e1f2,"b7b5,c6b5,b4c3,a6b5,c8b7,e6e5,d8b6,f6d5,h7h6"
3575,2554,2405,1-0,"12,13,14,15",-,"g5f6,c3d5,c4b3,c2c3",-
3577,2541,2559,1-0,7,7,f3h4,b8d7
3576,2729,2645,1-0,15,7,b4b5,e8g8
3580,2556,2419,1-0,8,5,e1g1,e8g8
3583,2587,2700,1-0,4,4,c2c4,e8g8
3584,2632,2571,1-0,-,10,-,e8g8
3582,2769,2859,0-1,"4,5","6,7,8,9","b5a4,e1g1","b7b5,e8g8,b5b4,c6a5"
