Id,WhiteElo,BlackElo,Result,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
66,2684,2584,1-0,"7,8,9,10,11,12,13,14","9,10,11,12,13","d4d5,c4d5,c1e3,d1c2,d2e4,d2c4,c2b3,e1g1","f6e4,d7f6,c8f5,c8f5,a6c7",,,,
67,2523,2603,0-1,"7,8,9,9",10,"b5c6,c1g5,e1c1,e1c1",e8g8,,,,
68,2534,2558,1-0,"14,15","8,9,10,11,12,13","h2h4,d1e2","c7c5,b8c6,b8c6,d7c5,a7a5,e8g8",,,,
69,2769,2587,1-0,"8,9","12,13,14,15","e1g1,e1g1","e8g8,c8d7,a5c4,d5c4",,,,
70,2329,2564,0-1,"8,9,10",6,"a2a4,e1g1,e1g1",e8g8,,,,
71,2663,2734,1/2-1/2,-,-,-,-,,,,
72,2604,2404,1-0,"9,10,11,12,13,13,14,14,15,15",-,"a2a4,b5d3,f2f4,f2f4,f4c1,f4c1,h2h4,h2h4,h2h4,h2h4",-,,,,
74,2632,2474,1-0,"7,8","8,9,10,11,12,13,14,15","c2c3,e1g1","e8g8,h7h6,h7h6,g6e5,e5d5,d7d6,a7a5,a7a5",,,,
73,2599,2493,1-0,"5,6",8,"e3d4,d1e2",d7d5,,,,
75,2451,2515,0-1,10,-,e1c1,-,,,,
76,2568,2582,1-0,5,"10,11,12,13,14,14,15,15",c2c4,"f8e7,e8c8,d7e5,f8e7,e8g8,e8g8,f5e4,f5e4",,,,
77,2504,2446,0-1,6,6,c2c4,d6e5,,,,
78,2481,2601,1/2-1/2,"4,5,6","5,6,7,8,9,10,11,11,12,12","d2d3,b1d2,c2c3","d7c6,f6d7,e8g8,d8e7,e6c4,d8e7,c6c5,c6c5,a7a6,a7a6",,,,
80,2632,2450,0-1,7,7,d1b3,e8g8,,,,
79,2520,2559,0-1,"4,5",6,"b1c3,e4e5",b8c6,,,,
81,2460,2502,0-1,"12,13","7,8,9,12","e1g1,e3f4","g4f3,d5d4,d4b4,c6a5",,,,
82,2522,2486,0-1,"10,11,12","7,8","d4c5,f1c4,d2d6","c7c5,d8a5",,,,
83,2404,2511,0-1,"8,9,9",9,"e1g1,f3e5,f3e5",a7a6,,,,
84,2646,2625,1-0,"11,12,13","6,7,8,9,10,13","h1g1,d4d5,d2c1","e7e6,f8b4,b4c3,e5d4,g8e7,a7a6",,,,
85,2519,2708,1/2-1/2,"7,8,9,10",10,"c4b3,e5d6,c3d4,e1g1",h7h6,,,,
86,2612,2552,0-1,"14,15",-,"d1b3,c1d2",-,,,,
87,2388,2521,1/2-1/2,4,8,d2d3,e8g8,,,,
88,2510,2460,1-0,-,"11,12",-,"a8c8,c5e6",,,,
89,2324,2783,0-1,"5,6,7,8,9",9,"c4b5,e4d5,c4b5,c1g5,d1e2",e8g8,,,,
90,2583,2614,1-0,"8,9,9,10,11,12",-,"c3d1,c3d1,c3d1,e2g1,e1g1,e1g1",-,,,,
91,2474,2534,1-0,"5,6","11,15","e4e5,e1g1","e7d7,f4f7",,,,
92,2501,2496,1-0,6,"11,12,13",d2d4,"d7d5,g7f6,f8g7",,,,
93,2516,2358,1-0,7,7,h2h3,a8b8,,,,
94,2511,2485,0-1,"7,8,9,10",10,"e1g1,d1f3,f3e2,e1g1",b4e7,,,,
95,2510,2500,1-0,"12,13,14",10,"f3e5,c2c3,b3d5",e8g8,,,,
97,2424,2601,1-0,"4,5,6,7,8,9,10,10,11,11,12,12","13,14","c2c4,b1d2,d4e5,e1g1,e1g1,e1g1,b2b3,b2b3,g5d2,g5d2,e1g1,e1g1","f6e4,e8g8",,,,
96,2482,2531,0-1,"6,7,8",9,"e2e4,e1g1,e1g1",d8c7,,,,
98,2541,2527,0-1,9,"7,8,9,10",d2d4,"a7a5,c6c5,e8g8,e8g8",,,,
99,2520,2345,1-0,"4,5,6,7,8,9,10,11,11",9,"b5a4,e1g1,d1d4,f3d4,c1e3,f2f3,e1f2,d4c6,d4c6",f6d7,,,,
100,2503,2476,1-0,7,"9,10,11,12,13,14,15,15",c1e3,"e8g8,c8b7,d6e5,f6d7,e7c5,b7f3,c6e5,c6e5"
101,2350,2504,1-0,"12,13,14,15","7,8,9,10,11","g4g5,c1e3,c1e3,d1d3","d7c5,d7c5,d7c5,d7c5,c6d5"
102,2531,2680,0-1,8,"12,13",e1g1,"f7e6,a8d8"
103,2675,2554,1-0,"4,5,6,7",5,"c2c4,c1b2,c2c4,e1g1",d7d5
104,2450,2512,1/2-1/2,6,4,e1g1,d7d5
106,2537,2406,0-1,5,"14,15",e4e5,"c8c7,f7f6"
105,2510,2472,1-0,"10,11,12,12,13,13,14,14",10,"e2g3,e1g1,e1g1,e1g1,e1g1,e1g1,e1g1,e1g1",e8g8
107,2640,2553,1-0,"7,8",4,"g5h4,c2c3",e8g8
109,2571,2438,1-0,8,"8,9,10,11,12",e1g1,"b8c6,b8c6,c8b7,a7a6,e8g8"
108,2733,2783,1-0,12,"5,6,7,8,9,10,11",d4d5,"d6e7,a7a6,e8g8,b7b6,d6c7,e8g8,c5d4"
110,2601,2471,1-0,10,"9,10",e1g1,"f7f6,e8g8"
111,2578,2598,0-1,-,-,-,-
112,2759,2714,1-0,"6,7,8,9,9,10,10","8,9","d2d4,e1g1,d4d5,e2f3,e2f3,e1c1,e1c1","g4f3,e7e6"
113,2465,2507,0-1,5,"7,8",e1g1,"e8g8,d7f8"
114,2616,2573,1-0,10,"8,9",e1g1,"d7d6,e8g8"
115,2535,2687,0-1,9,5,e1g1,e8g8
116,2606,2548,1-0,4,-,e1g1,-
117,2378,2644,0-1,9,8,e1g1,e8g8
118,2701,2692,1-0,"5,6,7,8,9,10","5,6,7","d1e2,h2h3,h2h3,h2h3,d2f3,d4e5","b8c6,e7e5,e7e5"
119,2649,2647,1-0,"8,9,10,11,11","7,8,9,10,11,11,12,12","c1g5,g5h4,c3d5,d2e2,d2e2","h7h6,c8e6,c8e6,f6e4,f6e4,f6e4,e8c8,e8c8"
120,2535,2448,1-0,9,"7,8,9",e1g1,"h7h5,d5e4,c5d4"
121,2625,2604,1-0,"5,6,7,8,9,10,11,11,12,12,13,13","6,7","e1g1,h2h3,c1e3,b1d2,d4d5,h2h3,h2h3,h2h3,d2f3,d2f3,g2g4,g2g4","d5f5,e8c8"
122,2551,2529,0-1,"10,11,12,13,14,14","10,11,11","e1g1,e5d7,c1f4,e1g1,e5d7,e5d7","d8c7,e8g8,e8g8"
124,2582,2617,0-1,10,10,e2g3,d8a5
123,2926,2545,1-0,"9,10,11,12,13,14",7,"c4c5,e1g1,e1g1,e5f3,f4e5,c3e2",e8g8
125,2406,2564,0-1,-,-,-,-
