Id,WhiteElo,BlackElo,Result,WhiteAttackIncrease,BlackAttackIncrease,WhiteCentralizationIncrease,BlackCentralizationIncrease
73001,1766,1851,1-0,"1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73007,1993,1974,1-0,"1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0","0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0","1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
73006,1666,1689,1-0,"1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0"
73002,1497,1374,0-1,"1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0","0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1","1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73000,1762,1679,0-1,"1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0"
73005,1765,1749,1-0,"1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73004,1859,1899,1-0,"1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73003,1020,1027,0-1,"1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0","0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1","1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1"
73009,1874,1906,0-1,"1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0","0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0","1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0","0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
73008,1581,1654,1-0,"1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1","1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0"
73010,1367,1650,0-1,"1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0","0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1"
73013,1613,1640,1-0,"1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
73011,1973,1932,1-0,"1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0"
73017,1752,1824,1-0,"1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0","0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0","1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73016,2103,2076,0-1,"1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0","0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
73014,2116,2077,1-0,"1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0","0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1","1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73012,971,966,1-0,"1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0","0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1","1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73018,2137,2097,0-1,"1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0","0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73015,2031,2029,1/2-1/2,"1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0","0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
73019,1996,1985,0-1,"1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0","1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0","0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1"
73021,1539,1646,0-1,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0","0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73024,1776,1883,0-1,"1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0","0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0","0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
73025,1706,1655,0-1,"1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0","0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0","1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
73023,1796,1870,0-1,"1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1","1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
73029,2187,2107,1-0,"1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0","0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0","1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0","0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
73020,846,828,1-0,"1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0","0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0","1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
73022,681,848,0-1,"1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0","0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73028,1792,1864,0-1,"1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0","0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0","1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73030,1226,1216,1/2-1/2,"1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0","0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73026,1904,1932,1-0,"1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0","0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1"
73032,2062,2064,1-0,"1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73034,1718,1708,1-0,"1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0"
73027,1668,1645,1-0,"1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
73040,1534,1509,1-0,"1,0,1,0,0,0,1,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0","1,0,1,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,0,0,0,0"
73039,1640,1648,0-1,"1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
73031,1726,1793,1-0,"1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0","0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
73033,1744,1763,1-0,"1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1","1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73038,1702,1675,1-0,"1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0"
73036,1418,1412,0-1,"1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0","0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
73044,1631,1631,0-1,"1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0","0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0","1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0"
73037,1237,1280,0-1,"1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0","0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
73045,1432,1439,1-0,"1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0","0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1","1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73043,1565,1545,1-0,"1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0","0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
73041,1748,1746,0-1,"1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0","0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73047,2091,2081,0-1,"1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73049,1971,1989,0-1,"1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0","1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73035,1785,1774,0-1,"1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
73051,1761,1756,1-0,"1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0","0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0","1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73042,1034,870,0-1,"1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
73053,2044,2123,0-1,"1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0","0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
73054,2299,2121,1-0,"1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0","0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
73048,1911,1898,0-1,"1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0","0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73050,1623,1668,0-1,"1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0","0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0","1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73052,2102,2116,1-0,"1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0","0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73059,1478,1430,1-0,"1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0","0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1","1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73046,1486,1536,0-1,"1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0","0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1"
73058,2166,2170,1-0,"1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0","0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1","1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
73060,1465,1469,1-0,"1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0","0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73057,1175,1193,0-1,"1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0","0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0","1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
73063,1563,1565,1-0,"1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0","0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0","1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0"
73062,1431,1499,0-1,"1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0","0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0","0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
73065,2100,2127,0-1,"1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0","0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0","1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73066,1476,1493,1-0,"1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1","1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
73055,750,863,0-1,"1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0","0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
73061,1772,1747,1-0,"1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0","0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
73070,1636,1641,1-0,"1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0","0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0"
73071,1716,1720,0-1,"1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0","0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73064,1464,1600,0-1,"1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0","0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0","1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0","0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0"
73067,1576,1601,0-1,"1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73068,1602,1528,0-1,"1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0","0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0","1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73074,2191,2171,1-0,"1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73069,1792,1757,0-1,"1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0","0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1","1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
73056,1226,1265,1-0,"1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0","0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73076,1908,2010,0-1,"1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0","0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0"
73077,2115,2094,0-1,"1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
73075,1668,1644,1-0,"1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0","1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
73079,1923,1859,0-1,"1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0","0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1","1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73080,1823,1877,0-1,"1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0","1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0","0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
73082,1979,2009,1-0,"1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0","1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0"
73084,1486,1354,1-0,"1,0,1,0,0,0,1,0,1,0,0,0,1,0,0","0,1,0,0,0,1,0,0,0,1,0,0,0,0,0","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
