Id,WhiteElo,BlackElo,Result,WhiteAttackIncrease,BlackAttackIncrease,WhiteCentralizationIncrease,BlackCentralizationIncrease
77999,1761,1759,0-1,"1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0","0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1","1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
78001,1201,1270,0-1,"1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0","1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
77995,1216,1217,0-1,"1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0","0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1","1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0","0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
77997,1598,1598,0-1,"1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0","0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
78003,1500,1279,1-0,"1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0","0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78002,1421,1428,1-0,"1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0","0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78007,1530,1491,1-0,"1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78009,1885,1875,0-1,"1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0","1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
78006,1412,1410,1-0,"1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0","0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
78008,1213,1214,0-1,"1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0","0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
