WhiteElo,BlackElo,Result,test
3112,2899,1/2-1/2,[1]
2891,2660,1-0,[1]
3094,3113,1/2-1/2,[1]
2899,3042,0-1,[1]
3230,3012,1-0,[1]
2965,3040,1/2-1/2,[1]
3184,3004,1-0,[1]
3047,2918,1-0,[1]
2606,2757,1/2-1/2,[1]
3034,2757,1-0,[1]
2918,2778,1-0,[1]
3004,3047,1/2-1/2,[1]
3040,3184,1/2-1/2,[1]
3012,2965,1/2-1/2,[1]
3042,3230,0-1,[1]
3102,2899,1-0,[1]
2899,2891,1-0,[1]
2824,3112,1/2-1/2,[1]
3112,3034,1/2-1/2,[1]
2891,2824,1-0,[1]
3094,2899,1-0,[1]
2741,2660,1-0,[1]
2899,3113,0-1,[1]
3230,3102,1-0,[1]
2965,3042,1/2-1/2,[1]
3184,3012,1/2-1/2,[1]
3047,3040,1/2-1/2,[1]
2778,3004,0-1,[1]
3034,3227,1/2-1/2,[1]
2918,2757,1-0,[1]
3040,2778,1/2-1/2,[1]
3012,3047,1/2-1/2,[1]
3042,3184,1/2-1/2,[1]
3102,2965,0-1,[1]
3113,3230,0-1,[1]
2660,2899,0-1,[1]
2899,2741,1-0,[1]
2824,3094,1/2-1/2,[1]
3112,2891,1/2-1/2,[1]
2891,3034,0-1,[1]
3094,3112,1/2-1/2,[1]
2741,2824,1-0,[1]
2899,2899,1/2-1/2,[1]
2965,3113,0-1,[1]
3184,3102,1-0,[1]
3047,3042,1-0,[1]
2778,3012,0-1,[1]
2757,3004,0-1,[1]
2510,2797,1-0,[1]
3019,3083,1/2-1/2,[1]
3109,2913,1-0,[1]
3035,3192,1/2-1/2,[1]
3083,3051,1/2-1/2,[1]
2901,3114,0-1,[1]
3226,3047,1-0,[1]
3011,2964,1/2-1/2,[1]
3030,3224,1/2-1/2,[1]
2688,2780,1/2-1/2,[1]
2745,2894,1/2-1/2,[1]
2797,2894,1/2-1/2,[1]
2660,2745,1-0,[1]
2780,3004,1/2-1/2,[1]
2964,3030,1-0,[1]
3047,3011,1/2-1/2,[1]
3114,3226,0-1,[1]
3051,2901,1-0,[1]
3192,3083,1-0,[1]
2913,3035,1-0,[1]
3083,3109,1-0,[1]
3019,2797,1-0,[1]
3035,3083,1/2-1/2,[1]
3083,2913,1-0,[1]
2901,3192,0-1,[1]
3226,3051,1-0,[1]
3011,3114,0-1,[1]
3030,3047,1/2-1/2,[1]
2688,2964,1/2-1/2,[1]
3004,3224,1/2-1/2,[1]
2745,2780,0-1,[1]
2894,2660,1/2-1/2,[1]
2797,2660,1/2-1/2,[1]
2780,2894,1/2-1/2,[1]
2964,3004,1/2-1/2,[1]
3114,3030,1-0,[1]
3051,3011,1-0,[1]
3192,3226,1/2-1/2,[1]
2913,2901,1-0,[1]
3083,3083,1/2-1/2,[1]
3019,3109,1-0,[1]
3035,3019,1-0,[1]
2901,3083,0-1,[1]
3011,3192,0-1,[1]
3030,3051,1/2-1/2,[1]
3004,3047,1/2-1/2,[1]
2745,2964,0-1,[1]
2660,2780,0-1,[1]
2797,2780,1/2-1/2,[1]
2964,2894,1-0,[1]
3114,3004,1/2-1/2,[1]
3192,3030,1-0,[1]
2913,3011,1/2-1/2,[1]
3083,3226,0-1,[1]
3019,3083,0-1,[1]
3109,3035,1/2-1/2,[1]
3035,2797,1-0,[1]
3083,3109,1/2-1/2,[1]
2901,3019,1-0,[1]
3011,3083,1/2-1/2,[1]
3030,2913,1-0,[1]
3004,3051,0-1,[1]
2894,3047,0-1,[1]
2964,2780,1-0,[1]
3114,2894,1-0,[1]
3192,3004,1-0,[1]
2913,2688,1-0,[1]
3083,3030,1/2-1/2,[1]
3019,3226,1/2-1/2,[1]
3109,2901,1-0,[1]
3035,3083,0-1,[1]
3083,2797,1-0,[1]
2901,3035,0-1,[1]
3226,3109,1-0,[1]
3011,3019,1/2-1/2,[1]
3004,2913,1-0,[1]
2894,3051,1/2-1/2,[1]
2780,3047,0-1,[1]
3224,2964,1/2-1/2,[1]
2797,2964,0-1,[1]
3047,3224,1/2-1/2,[1]
3192,2894,1-0,[1]
2913,2745,1/2-1/2,[1]
3083,3004,1/2-1/2,[1]
2510,2688,1-0,[1]
3019,3030,1-0,[1]
3109,3011,1-0,[1]
3035,3226,0-1,[1]
3083,2901,1-0,[1]
2901,2797,1/2-1/2,[1]
3226,3083,1-0,[1]
3011,3035,1/2-1/2,[1]
3030,3109,1/2-1/2,[1]
2894,2913,1/2-1/2,[1]
2780,3051,0-1,[1]
3224,3114,1-0,[1]
2964,3047,1/2-1/2,[1]
2797,3047,0-1,[1]
3114,2964,1-0,[1]
3051,3224,0-1,[1]
2913,2660,1/2-1/2,[1]
3083,2894,1-0,[1]
2510,2745,1/2-1/2,[1]
3019,3004,1/2-1/2,[1]
3035,3030,1-0,[1]
3083,3011,1-0,[1]
3011,2901,1-0,[1]
3030,3083,1/2-1/2,[1]
3004,3109,1/2-1/2,[1]
2745,3019,0-1,[1]
2780,2913,0-1,[1]
3224,3192,1/2-1/2,[1]
2964,3051,1/2-1/2,[1]
3047,3114,1-0,[1]
3051,3047,1/2-1/2,[1]
3192,2964,1-0,[1]
2510,2660,1-0,[1]
3019,2894,1-0,[1]
3035,3004,0-1,[1]
2901,3030,0-1,[1]
3226,3011,1-0,[1]
3011,2797,1-0,[1]
3030,3226,0-1,[1]
2688,2901,0-1,[1]
3004,3083,1/2-1/2,[1]
2745,3035,0-1,[1]
2894,3109,1/2-1/2,[1]
2780,2510,0-1,[1]
3224,3083,1-0,[1]
2964,2913,1-0,[1]
3047,3192,0-1,[1]
3114,3051,1/2-1/2,[1]
2797,3051,1/2-1/2,[1]
3192,3114,1/2-1/2,[1]
2913,3047,1/2-1/2,[1]
3083,2964,1/2-1/2,[1]
3019,2780,1-0,[1]
3035,2894,1/2-1/2,[1]
2901,3004,0-1,[1]
3011,3030,1/2-1/2,[1]
3030,2797,1/2-1/2,[1]
3004,3226,0-1,[1]
2745,2901,0-1,[1]
2894,3083,1/2-1/2,[1]
3224,3019,1/2-1/2,[1]
3047,3083,1-0,[1]
3114,2913,1-0,[1]
3051,3192,0-1,[1]
2913,3051,0-1,[1]
3083,3114,0-1,[1]
3019,2964,1/2-1/2,[1]
3109,3224,0-1,[1]
3035,2780,1-0,[1]
2901,2894,1/2-1/2,[1]
3011,3004,0-1,[1]
2688,2797,1/2-1/2,[1]
3004,3030,1/2-1/2,[1]
2745,3011,1/2-1/2,[1]
2660,2901,0-1,[1]
3224,3035,1/2-1/2,[1]
2964,3109,0-1,[1]
3047,3019,1-0,[1]
3051,3083,1-0,[1]
3192,2913,1-0,[1]
2797,2913,1/2-1/2,[1]
3083,3192,0-1,[1]
3019,3114,0-1,[1]
3109,3047,0-1,[1]
3035,2964,1-0,[1]
3083,3224,1/2-1/2,[1]
2901,2780,1-0,[1]
3011,2894,1/2-1/2,[1]
3030,2745,1-0,[1]
3004,2797,1/2-1/2,[1]
2745,2688,1/2-1/2,[1]
2894,3030,1/2-1/2,[1]
2964,3083,1/2-1/2,[1]
3047,3035,1-0,[1]
3114,3109,1-0,[1]
3051,3019,1/2-1/2,[1]
2913,3083,1/2-1/2,[1]
2797,3083,1/2-1/2,[1]
3019,3192,1/2-1/2,[1]
3109,3051,0-1,[1]
3035,3114,1/2-1/2,[1]
3083,3047,1-0,[1]
2901,2964,0-1,[1]
3226,3224,1-0,[1]
3011,2780,1/2-1/2,[1]
2688,2894,1/2-1/2,[1]
3004,2745,1/2-1/2,[1]
2745,2797,1/2-1/2,[1]
2894,3004,0-1,[1]
2660,2688,1/2-1/2,[1]
