Id,WhiteElo,BlackElo,Result,ConsideredMovesWhite,BestPieceMovesCountWhite,ConsideredMovesBlack,BestPieceMovesCountBlack
63735,1150,1072,1-0,10,2,6,3
63739,1777,1769,1-0,5,1,4,2
63733,1991,2082,1/2-1/2,5,2,10,2
63737,1778,1710,1-0,8,1,6,2
63724,1331,1260,1-0,9,1,9,1
63736,1710,1731,0-1,9,2,10,1
63746,1666,1779,0-1,6,3,7,3
63741,1367,1364,0-1,10,2,5,3
63743,1622,1587,1-0,8,1,10,2
63740,1801,1800,0-1,8,1,9,2
63738,1381,1352,0-1,9,2,8,0
63744,1121,1015,0-1,10,3,6,1
63747,1321,1310,1-0,6,2,10,0
63742,1940,1951,0-1,10,2,7,3
63745,1752,1813,1-0,10,1,10,2
63748,1666,1682,1-0,10,3,3,1
63750,1598,1619,0-1,5,2,6,1
63751,2211,2075,1-0,8,2,10,2
63749,1647,1717,1/2-1/2,10,1,10,3
63753,1462,1457,0-1,6,1,6,2
63755,1474,1351,1-0,10,1,5,2
63752,1486,1475,0-1,9,1,10,2
63756,1333,1441,0-1,10,3,8,3
63757,1585,1584,1-0,10,2,8,2
63759,1436,1503,0-1,8,4,10,1
63763,1234,1187,0-1,5,1,9,0
63754,1763,1872,0-1,8,1,10,0
63761,1866,1908,0-1,7,1,8,2
63762,1444,1419,1-0,8,4,8,2
63768,1478,1514,1-0,7,2,7,2
63758,1611,1627,1-0,8,1,10,2
63770,1005,984,1-0,10,3,4,3
63771,1260,1256,0-1,9,2,5,3
63760,1274,1239,0-1,10,2,10,2
63766,1740,1751,0-1,9,2,10,1
63767,940,962,0-1,9,2,5,2
63775,1794,1796,1-0,10,3,9,2
63769,1977,1969,0-1,9,3,8,2
63774,1829,1832,1-0,5,1,7,2
63779,1319,1162,1-0,2,0,1,0
63765,1505,1513,1-0,10,2,10,2
63764,848,832,0-1,8,3,7,2
63778,1894,1897,1/2-1/2,6,3,7,1
63777,1606,1641,0-1,6,3,8,2
63776,895,1014,0-1,6,3,8,0
63780,1058,966,0-1,10,2,5,2
63772,1688,1664,1-0,10,2,8,3
63783,1239,1202,0-1,5,1,6,3
63773,1736,1740,1-0,9,2,8,0
63787,773,768,0-1,4,2,7,2
63786,1551,1570,1-0,7,2,6,4
63782,1351,1428,0-1,10,2,9,3
63788,1634,1616,1-0,7,3,5,3
63785,2282,2002,1-0,8,3,10,1
63784,1799,1873,1-0,10,1,10,1
63781,1984,1987,1-0,10,2,10,1
63789,1266,1290,1-0,10,2,8,3
63793,1980,1947,0-1,6,1,7,1
63796,1705,1709,0-1,5,1,8,1
63794,1756,1715,1-0,10,2,7,2
63792,1747,1779,1-0,7,2,6,0
63799,1721,1716,1-0,5,1,5,2
63790,1784,1784,0-1,5,1,9,2
63791,1505,1507,1-0,8,2,8,2
63803,2100,2152,0-1,10,2,9,2
63795,1997,1714,0-1,9,3,8,1
63798,1810,1850,1-0,10,2,10,1
63797,1397,1420,1-0,8,2,8,1
63801,1832,1728,1-0,10,3,9,2
63800,2059,2066,0-1,10,2,6,2
63805,1327,1322,1-0,6,0,10,2
63802,1399,1432,0-1,9,1,10,3
63811,1601,1599,0-1,10,1,6,2
63809,1849,1873,1-0,10,2,5,2
63804,1245,1248,0-1,10,1,10,1
63806,1133,1090,1-0,6,0,9,2
63810,1902,1914,0-1,10,3,9,3
63808,1676,1709,1-0,10,1,8,1
63807,1909,1949,1-0,9,2,10,3
63817,1504,1469,1-0,5,0,4,3
63812,1680,1652,0-1,10,4,10,3
63821,1231,1135,1-0,4,1,3,1
63813,1614,1603,0-1,7,1,10,2
63814,1563,1520,1-0,10,2,7,2
63819,1642,1646,1-0,10,3,5,2
63815,1569,1451,0-1,7,0,10,2
63818,1123,1079,0-1,7,2,9,0
63826,1694,1683,0-1,8,3,5,4
