Id,WhiteElo,BlackElo,Result,ConsideredMovesWhite,BestPieceMovesCountWhite,ConsideredMovesBlack,BestPieceMovesCountBlack
18495,1259,1259,0-1,9,3,6,3
18483,1060,1006,0-1,10,2,10,2
18498,1134,1098,0-1,7,3,6,2
18496,2278,2220,1-0,9,1,5,2
18491,1504,1477,0-1,10,2,8,4
18490,942,1039,0-1,9,1,9,2
18492,1764,1751,1-0,5,2,10,0
18489,1136,1236,1-0,6,2,9,3
18500,1062,1108,1-0,9,1,7,1
18505,1697,1765,1-0,5,2,4,2
18493,1848,1838,0-1,9,2,4,2
18507,1493,1456,0-1,6,2,6,0
18497,1893,1834,1-0,6,2,9,0
18501,1686,1666,1-0,8,0,6,1
18504,1675,1772,1-0,7,2,7,1
18511,1386,1431,0-1,6,1,6,3
18503,1496,1476,1-0,8,3,10,1
18502,2006,1995,1-0,10,1,6,1
18508,1631,1575,0-1,9,2,7,3
18510,1204,1183,0-1,10,2,4,2
18512,1587,1595,0-1,8,2,10,2
18509,1536,1512,0-1,10,1,4,2
18499,1201,1293,0-1,8,2,10,2
18517,2106,2075,1-0,9,2,6,2
18506,905,894,0-1,9,1,10,2
18515,2037,2082,0-1,8,3,6,3
18520,963,863,1-0,10,0,9,2
18518,659,757,1-0,8,0,6,3
18514,1582,1587,1-0,10,3,10,2
18513,1575,1564,1-0,10,0,10,1
18522,1510,1507,0-1,9,3,10,3
18519,1414,1400,1-0,10,2,6,2
18516,1214,1213,1-0,10,3,10,1
18527,1758,1750,0-1,7,2,7,1
18526,1813,1813,1-0,10,2,5,3
18524,2014,2013,1-0,9,2,7,2
18525,1775,1750,1-0,9,2,9,3
18523,1360,1456,0-1,10,1,8,1
18534,2050,2125,0-1,10,2,9,2
18531,2124,2082,0-1,7,2,9,2
18533,1719,1717,1-0,5,3,7,1
18530,1729,1739,1-0,6,1,10,2
18535,1567,1570,0-1,4,0,7,1
18532,1879,1881,1-0,7,3,7,1
18536,1793,1894,0-1,9,2,4,2
18529,861,780,1-0,6,1,10,0
18528,1603,1466,1-0,10,4,8,1
18537,1829,1778,0-1,7,2,6,4
18521,600,640,0-1,10,2,10,1
18540,1390,1195,1-0,10,3,8,2
18541,2000,1968,1-0,7,4,10,2
18543,2006,2011,0-1,10,2,10,1
18538,1179,1179,0-1,10,1,6,0
18542,1500,1625,1-0,10,2,10,2
18544,1706,1705,1-0,4,2,8,2
18548,1761,1737,0-1,9,1,4,1
18550,1888,1910,0-1,7,1,7,4
18539,1502,1451,1-0,9,4,10,0
18551,1424,1419,1-0,4,1,5,3
18546,1101,1094,0-1,9,3,4,2
18547,1212,1263,0-1,8,1,6,2
18545,2064,1867,0-1,8,3,6,2
18556,1666,1662,1-0,7,2,5,2
18553,1073,1085,1-0,5,3,5,1
18554,1462,1434,1-0,10,1,10,1
18558,1643,1600,1-0,9,3,6,3
18549,1965,1908,1-0,8,3,10,2
18560,1890,1926,0-1,7,3,9,1
18555,1549,1548,1-0,10,2,10,1
18552,1903,1890,0-1,6,2,10,1
18566,1365,1462,1-0,10,2,6,3
18562,1724,1738,1-0,7,1,10,1
18563,1863,1863,0-1,6,4,10,2
18565,1008,978,1-0,7,2,6,2
18559,1657,1661,1-0,10,3,10,3
18564,1698,1668,1-0,10,2,7,1
18557,1681,1692,1-0,9,1,6,1
18569,1747,1743,1-0,9,3,8,4
18568,1411,1302,1-0,9,1,5,1
18561,1885,1730,1-0,10,3,8,1
18573,1094,1170,0-1,6,2,8,1
18567,1909,1928,1-0,10,3,10,2
18571,1784,1772,0-1,10,1,9,2
18576,1944,2033,0-1,8,2,5,2
18574,1498,1567,0-1,10,2,7,2
18580,1039,1024,1-0,3,1,4,1
18572,1344,1411,0-1,10,2,7,2
18575,2021,1879,1-0,8,1,8,2
18584,962,988,1-0,4,2,5,4
18577,1736,1696,0-1,6,1,10,1
18578,1575,1600,1-0,5,1,10,2
18579,1858,1949,1-0,10,2,9,1
18583,1322,1281,1/2-1/2,10,2,5,3
18582,1762,1786,0-1,10,1,5,2
18570,1684,1696,1-0,9,2,10,3
18581,2089,2080,1-0,6,1,10,2
18588,1810,1834,0-1,7,1,10,1
18586,1517,1585,0-1,8,2,10,1
18585,1865,1854,1-0,10,2,9,3
18589,1036,894,1-0,5,3,8,2
18595,919,821,1-0,4,3,3,2
18591,1608,1520,1/2-1/2,9,1,10,1
18593,1687,1678,1-0,8,3,8,3
18594,1927,1851,0-1,7,1,8,2
18592,2067,2057,1/2-1/2,8,1,9,1
18590,1169,1101,1-0,10,3,7,2
18587,1490,1575,0-1,10,2,10,1
18599,1997,1998,1/2-1/2,8,2,8,3
18598,1333,1106,1-0,8,1,9,2
18602,1313,1271,0-1,5,1,6,2
18596,1140,1151,1-0,10,1,9,2
18597,1333,1390,0-1,10,1,8,2
18601,898,973,1-0,4,3,7,3
18604,1591,1651,0-1,6,3,6,2
18600,1482,1241,1-0,4,2,10,0
18607,1752,1748,1-0,6,2,8,2
18603,1920,1852,0-1,10,3,8,2
18612,1139,1103,1-0,7,2,3,2
18606,1977,1984,1-0,9,2,10,3
18608,1718,1632,0-1,6,1,8,1
18610,1353,1370,0-1,10,2,4,3
18611,1362,1388,0-1,10,0,6,2
18605,889,959,0-1,7,2,10,1
18616,2040,1991,1-0,10,0,7,3
18609,1230,1388,1-0,8,2,8,1
18617,1530,1587,0-1,6,2,7,3
18613,1973,1935,0-1,10,2,10,2
18614,2008,2023,0-1,7,1,10,2
18618,1047,1162,1-0,7,3,5,1
18615,2046,1919,1-0,10,2,9,3
18623,1853,1876,1-0,10,3,8,3
18620,2037,1962,0-1,8,1,9,0
18621,1541,1587,1-0,7,1,9,2
18619,1309,1277,0-1,10,2,9,1
18624,1555,1636,1-0,9,0,10,0
18622,1625,1611,0-1,10,0,8,2
18626,1799,1751,1-0,7,3,10,2
18631,1462,1459,1/2-1/2,4,2,6,2
18630,1722,1715,1-0,10,2,6,3
18627,697,817,0-1,7,1,7,2
18628,1387,1386,0-1,10,1,8,2
18633,1692,1680,1-0,7,2,8,3
18625,1022,984,1-0,9,3,10,1
